#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_BLOODY_VENGEANCE;Bloody Vengeance;Vengeance sanglante;;;Venganza de sangre;;;;;;;;;x
opinion_showed_restraint;Showed Restraint;A fait preuve de retenue;;;Contenido;;;;;;;;;x
EVTDESCdynastic_rivalry.1;My liege, [Root.Liege.GetTitle] [Root.Liege.GetFirstName], is hosting a gathering of Lords of the realm, to debate issues, feast and drink. The discussions have become rather tense as [blood_feud_target.GetTitledFirstNameNoRegnal] [blood_feud_target.GetOnlyDynastyName], whom I have extreme distaste for, regards my words with disdain, dishonouring me with his thinly veiled insults...;Messire, [Root.Liege.GetTitle] [Root.Liege.GetFirstName], organise une rencontre entre les lords du royaume pour régler les problèmes entre maisons, festoyer et s'enivrer. Les discussions se sont tendues lorsque [blood_feud_target.GetTitledFirstNameNoRegnal] [blood_feud_target.GetOnlyDynastyName], l'un des lords que j'exècre le plus, s'est moqué de moi lors de ma prise de parole. Il m'a déshonoré devant tous mes pairs en ne m'accordant que dédain et insultes voilées...  ;;;Mi señor, [Root.Liege.GetTitle] [Root.Liege.GetFirstName], organizaba una asamblea con los Señores del Reino, para arreglar problemas entre casas, festejar y beber. Las discusiones se estaban tensando cuando [blood_feud_target.GetTitledFirstNameNoRegnal] [blood_feud_target.GetOnlyDynastyName] se burló de mi en mi discurso. Me ha deshonrado delante de todos los señores y no me concede más que desdén e insultos velados.;;;;;;;;;x
EVTOPTAdynastic_rivalry.1;I will not stand for this, you son of a whore!;Je ne le permettrai pas, fils de catin !;;;No voy a tolerar esto, hijo de puta!;;;;;;;;;x
TOOLTIPdynastic_rivalry.3;will respond;va répondre.;;;responderá;;;;;;;;;x
EVTOPTBdynastic_rivalry.1;I will not stoop to his level;Je ne m'abaisserai pas à son niveau.;;;No voy a rebajarme a su nivel;;;;;;;;;x
EVTOPTAdynastic_rivalry.2;I care not what he thinks;Je me fiche de ce qu'il pense.;;;No me importa lo que piensa;;;;;;;;;x
EVTDESCdynastic_rivalry.2;I was attending a gathering of lords of the realm hosted by [From.Liege.GetTitle] [From.Liege.GetFirstName], when [From.GetFirstName] [From.GetOnlyDynastyName] offered some plainly foolish insights. I quite ably put him in his place, leaving him with no answer. I wonder if he will add this to one of the supposed slights I've made against him?;J'assistais à une rencontre des lords du royaume organisée par [From.Liege.GetTitle] [From.Liege.GetFirstName], lorsque [From.GetFirstName] [From.GetOnlyDynastyName] a commencé à déblatéré des âneries sans nom. Je l'ai promptement remis à sa place, le laissant sans voix. Je me demande s'il ajoutera ceci aux autres affronts supposés que je lui aurai fait par le passé... ;;;Asistía a un encuentro de los Señores del Reino organizado por [From.Liege.GetTitle] [From.Liege.GetFirstName], cuando [From.GetFirstName] [From.GetOnlyDynastyName] comenzó a debatir estupideces sin nombre. Le puse rápidamente en su lugar, quitándole la palabra. Me pregunto si va añadir este episodio a supuestas afrentas pasadas por mi parte.;;;;;;;;;x
EVTDESCdynastic_rivalry.3;I was attending a gathering of lords of the realm hosted by [From.Liege.GetTitle] [From.Liege.GetFirstName], when [From.GetFirstName] [From.GetOnlyDynastyName] offered some plainly foolish insights. I quite ably put him in his place, but this enraged him enough for him to proclaim me a 'son of a whore'!;"J'assistais à une rencontre des lords du royaume organisée par [From.Liege.GetTitle] [From.Liege.GetFirstName], lorsque [From.GetFirstName] [From.GetOnlyDynastyName] a commencé à déblatéré des âneries sans nom. Je l'ai promptement remis à sa place, mais il est entré dans une rage folle, me traitant de ""fils de catin"".";;;Asistía a un encuentro de los señores del reino organizado por [From.Liege.GetTitle] [From.Liege.GetFirstName], cuando [From.GetFirstName] [From.GetOnlyDynastyName] comenzó a debatir estupideces sin nombre. Le puse rápidamente en su lugar, pero entró en cólera y me llamó hijo de puta.;;;;;;;;;x
EVTOPTAdynastic_rivalry.3;He will pay for this insult!;Il paiera pour cette insulte !;;;Pagará por este insulto!;;;;;;;;;x
TOOLTIPdynastic_rivalry.4;This will get ugly...;Cela va mal se terminer…;;;Se está poniendo feo...;;;;;;;;;x
EVTOPTBdynastic_rivalry.3;I meant no harm, honest!;Je ne voulais vexer personne, je le jure !;;;No quise ofenderos, lo juro!;;;;;;;;;x
TOOLTIPdynastic_rivalry.6;will earn respect from your fellow Lords;gagnera le respect des autres lords.;;;ganará el respeto de los demás Señores.;;;;;;;;;x
EVTDESCdynastic_rivalry.4;In response to your outburst, [From.GetFirstName] [From.GetOnlyDynastyName] reacted with equal rage. He drew his steel, which prompted all your men, and his, to follow in kind. The situation quickly degenerated into a mass brawl, leading to much [Root.GetOnlyDynastyName] blood being spilt...;En réponse à votre accès de colère, [From.GetFirstName] [From.GetOnlyDynastyName] a réagi de même. Il a tiré l'épée, poussant ses hommes comme les vôtres à faire de même. La situation a rapidement dégénérée en une bataille rangée qui fit couler beaucoup de sang [Root.GetOnlyDynastyName]...;;;En respuesta a tu arrebato, [From.GetFirstName] [From.GetOnlyDynastyName] reacciona con la misma rabia. Sacó la espada, junto con todos sus hombres. La situación degeneró rápidamente en un derramamiento de sangre [Root.GetOnlyDynastyName]...;;;;;;;;;x
EVTOPTAdynastic_rivalry.4;House [Root.GetOnlyDynastyName] will not forget this!;La maison [Root.GetOnlyDynastyName] s'en souviendra !;;;La casa [Root.GetOnlyDynastyName] no va a olvidar esto!;;;;;;;;;x
TOOLTIPNEWBLOODFEUD;Houses [Root.GetOnlyDynastyName] and [This.GetOnlyDynastyName] will enter a blood feud\n;Les maisons [Root.GetOnlyDynastyName] et [This.GetOnlyDynastyName] vont entrer en vendetta\n;;;Las casas [Root.GetOnlyDynastyName] y [This.GetOnlyDynastyName] inician una venganza de sangre\n;;;;;;;;;x
opinion_disrepected_hospitality;Disrespected Hospitality;N'a pas respecté l'hospitalité;;;Hospitalidad violada;;;;;;;;;x
EVTDESCdynastic_rivalry.5;In response to your outburst, [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] reacted with equal rage. He drew his steel, which prompted all your men, and his, to follow in kind. The situation quickly degenerated into a mass brawl, leading to much [Root.GetOnlyDynastyName] blood being spilt...;En réponse à votre accès de colère, [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] a réagi de même. Il a tiré l'épée, poussant ses hommes comme les vôtres à faire de même. La situation a rapidement dégénérée en une bataille rangée qui fit couler beaucoup de sang [Root.GetOnlyDynastyName]...;;;En respuesta a tu arrebato, [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] reacciona con la misma rabia. Sacó la espada, junto con todos sus hombres. La situación degeneró rápidamente en un derramamiento de sangre [Root.GetOnlyDynastyName]...;;;;;;;;;x
EVTDESCdynastic_rivalry.6;In response to your outburst [From.GetFirstName] [From.GetOnlyDynastyName] backed down, showing him up to be the craven I always knew he was. I will not forget his previous slights against me however.;En réponse à votre accès de colère, [From.GetFirstName] [From.GetOnlyDynastyName] est revenu sur sa position, montrant à tous quel lâche il a toujours été. Mais l’affront qu’il m’a fait subir demeure.;;;En respuesta a tu arrebato [From.GetFirstName] [From.GetOnlyDynastyName] se echó atrás, demostrando ser el cobarde que siempre supe que era. No voy a olvidar sus desaires anteriores contra mí.;;;;;;;;;x
EVTOPTAdynastic_rivalry.6;I know I'm the better man;Je sais que je suis le meilleur.;;;Sé que soy el mejor.;;;;;;;;;x
EVTDESCdynastic_rivalry.7;At a gathering of Lords of the Realm, [From.GetTitle] [From.GetFirstName] and his men of House [From.GetOnlyDynastyName] got into an ugly confrontation with one of my kinsmen, where much [Root.GetOnlyDynastyName] blood was spilt. Our Houses are now locked in a deadly feud.;Lors d'une rencontre des lords du royaume, [From.GetTitle] [From.GetFirstName] et ses hommes de la maison [From.GetOnlyDynastyName] ont été impliqués dans une abjecte confrontation avec l'un de mes parents, et du sang [Root.GetOnlyDynastyName] a été versé. Nos maisons sont désormais opposées par une querelle de sang. ;;;En la asamblea de los Señores del Reino, [From.GetTitle] [From.GetFirstName] y sus hombres de la casa [From.GetOnlyDynastyName] estuvieron implicados en un enfrentamiento con uno de mis parientes y se derramó mucha sangre. Nuestras casas están ahora enfrentadas en una venganza de sangre.;;;;;;;;;x
EVTDESCdynastic_rivalry.8;On birth dynasty feud event, please report as a bug if you see this;Naissance d'une querelle dynastique. Si vous voyez ce message, merci de nous le dire.;;;Nacimiento de una venganza de sangre. Reportad como bug si veis esto.;;;;;;;;;x
VENGEANCEIMPRISONDYNASTY;All [From.GetOnlyDynastyName]s in [From.Capital.GetName] shall be taken prisoner\n;Tous les [From.GetOnlyDynastyName] de [From.Capital.GetName] seront faits prisonniers\n;;;Todos los [From.GetOnlyDynastyName] de [From.Capital.GetName] serán hechos prisioneros\n;;;;;;;;;x
EVTDESCdynastic_rivalry.71;New blood feud between House [From.GetOnlyDynastyName] and House [FromFrom.GetOnlyDynastyName]. Started by [From.GetTitledFirstName] and [FromFrom.GetTitledFirstName].;Nouvelle vendetta entre les maisons [From.GetOnlyDynastyName] et [FromFrom.GetOnlyDynastyName]. Commencée par [From.GetTitledFirstName] et [FromFrom.GetTitledFirstName].;;;Nueva venganza sangrienta entre la Casa [From.GetOnlyDynastyName] y la Casa [FromFrom.GetOnlyDynastyName]. Iniciada por [From.GetTitledFirstName] y [FromFrom.GetTitledFirstName].;;;;;;;;;x
blood_feud;In a Blood Feud;Dans une vendetta;;;En una venganza sangrienta.;;;;;;;;;x
blood_feud_desc;This character's dynasty is in a blood feud with another dynasty;La dynastie de ce personnage est dans une vendetta avec une autre dynastie.;;;La dinastía de este personaje está en una venganza sangrienta con otra dinastía;;;;;;;;;x
EVTDESCdynastic_rivalry.107;Relations between our House and the [From.GetOnlyDynastyName]s of [From.PrimaryTitle.GetName] have been tense for a long while, mainly due to the slights on our honour that they have brought. Now a kinsmen of [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] has reportedly strayed into my lands...;Les relations entre notre maison et les [From.GetOnlyDynastyName] de [From.PrimaryTitle.GetName] sont tendues depuis longtemps, principalement à cause des affronts qu'ils ont fait à notre honneur. Il se trouve qu'un parent de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] s'est aventuré sur mes terres...;;;Las relaciones entre nuestra casa y los [From.GetOnlyDynastyName] de [From.PrimaryTitle.GetName] han sido tensas durante mucho tiempo, debido a sus desaires contra nuestro honor. Han visto a un pariente de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] desorientado en mis tierras...;;;;;;;;;x
EVTOPTAdynastic_rivalry.107;I shall take them and right these wrongs;Je devrais l'enlever et nous faire justice.;;;Cogedlo! vengaré sus desagravios.;;;;;;;;;x
TOOLTIPdynastic_rivalry.101;will be informed of the kidnap;sera informé de l'enlèvement;;;Serán informados del secuestro.;;;;;;;;;x
EVTOPTBdynastic_rivalry.107;Leave them umolested and let them pass;Ne rien lui faire et le laisser passer;;;Mostradle el camino de regreso.;;;;;;;;;x
EVTDESCdynastic_rivalry.101;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] of [From.PrimaryTitle.GetName] has long held me in low esteem, mainly for supposed slights made aginst the honour of [From.GetHerHis] house. Now the fool has kidnapped one of my kin for allegedly straying into [From.GetHerHis] lands!;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] de [From.PrimaryTitle.GetName] a eu longtemps peu d'estime pour moi, principalement à cause de soi-disant affronts que j'aurais fait à l'honneur de sa maison. L'imbécile vient d'enlever l'un de mes parents pour le crime d'avoir traverser ses terres !;;;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] de [From.PrimaryTitle.GetName] me ha tenido mucho tiempo en baja estima, debido a unos supuestos desaires por mi parte contra su casa. Ahora, el insensato ha secuestrado a uno de mis parientes que se perdió en sus tierras.;;;;;;;;;x
EVTOPTAdynastic_rivalry.101;The insolence! I demand their release!;Quelle insolence ! J'exige sa libération !;;;Insolente! Exijo su liberación!;;;;;;;;;x
TOOLTIPdynastic_rivalry.102;An envoy is sent demanding your kin's release, threatening revenge if ignored;Un émissaire est envoyé pour exiger la libération de votre parent, promettant des représailles en cas de refus.;;;Un emisario ha sido enviado exigiendo la liberación de tu pariente, amenazando con venganza si no cumplen.;;;;;;;;;x
EVTOPTBdynastic_rivalry.101;We don't want this to escalate;Nous ne voulons pas que la situation dégénère.;;;No queremos que esto escale.;;;;;;;;;x
TOOLTIPdynastic_rivalry.104;A raven is sent to try and appease the [FromFrom.GetOnlyDynastyName]s, and asking for your kin to be treated with dignity;Un corbeau est envoyé pour apaiser les [FromFrom.GetOnlyDynastyName], et demandant que votre parent soit traité avec dignité.;;;Envía un cuervo para tratar de apaciguar a los [FromFrom.GetOnlyDynastyName] y pidiendo que tu pariente sea tratado con dignidad.;;;;;;;;;x
EVTDESCdynastic_rivalry.102;After the capture of [From.GetHerHis] kin, [From.GetTitle] [From.GetFirstName] sent a [From.GetOnlyDynastyName] envoy bearing an outrageous message. [From.GetSheHeCap] demanded the release of the prisoner, under threat of revenge and violence. I could not back down to this provocation in front of my own kin, and sent back the envoy's head to [From.Capital.GetName].;Après l'enlèvement de son parent, [From.GetTitle] [From.GetFirstName] a envoyé un émissaire [From.GetOnlyDynastyName] avec un message des plus insultants. [From.GetSheHeCap] a exigé la libération du prisonnier, sous menaces de vengeance et de violence. Je ne pouvais ignorer cette provocation faite devant les miens et j'ai renvoyé la tête du messager à [From.Capital.GetName].;;;Tras la captura de [From.GetHerHis], [From.GetTitle] [From.GetFirstName] envió un emisario con un mensaje escandaloso. [From.GetSheHeCap] exigiendo la liberación del prisionero, bajo amenaza de vengaza. No podía tolerar esto delante de mi familia y envié la cabeza del emisario de vuelta a [From.Capital.GetName].;;;;;;;;;x
EVTOPTAdynastic_rivalry.102;War will now surely be upon us;La guerre va sûrement éclater.;;;Probablemente entremos en guerra.;;;;;;;;;x
EVTDESCdynastic_rivalry.103;The envoy has returned from [FromFrom.Capital.GetName]...only without their head. [FromFrom.GetTitle] [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] had my kinsmen executed, flagrantly ingoring my demand for my other kin's release, and in doing so has earned the ire of all of House [Root.GetOnlyDynastyName].;L'émissaire est revenu de [FromFrom.Capital.GetName]... mais seulement sa tête. [FromFrom.GetTitle] [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] a fait exécuter mon parent, ignorant délibérément mes exigences quant à la libération de mon autre parent. Ils vont endurer la colère de la maison [Root.GetOnlyDynastyName].;;;El emisario regresó de [FromFrom.Capital.GetName] sin su cabeza... [FromFrom.GetTitle] [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] ha ejecutado a mis hombres e ignorado flagrantemente mi petición de liberar a mi pariente. Se ha ganado la ira de toda la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTAdynastic_rivalry.103;This outrage will not go unanswered!;Cette insolence ne restera pas sans réponse !;;;Este ultraje no quedará sin respuesta.;;;;;;;;;x
EVTDESCdynastic_rivalry.104;[Root.GetTitle] [Root.GetFirstName], word has reached me that you have taken one of my kinsmen captive. I can assure you that they did not intentionally infringe on [Root.GetOnlyDynastyName] lands, and that apprehending them will only serve to create more bad blood between our Houses. I resolve to solve this peacefully, and ask you treat my kin with the dignity their rank deserves.\nYours,\n[From.GetTitledFirstName] of House [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetTitle] [Root.GetFirstName], j'ai entendu dire que vous reteniez captif l'un des miens. Je peut vous assurer qu'il n'y avait aucune mauvaise intention de sa part en pénétrant sur les terres [Root.GetOnlyDynastyName]. L'appréhender ne servira qu'à provoquer un bain de sang inutiles entre nos deux maison. Je vous demande de bien vouloir régler cette affaire de manière pacifique et de traiter mon parent avec la dignité et les égards dus à son rang.\nCordialement,\n[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;[Root.GetTitle] [Root.GetFirstName], he recibido una carta indicando que tiene cautivo a uno de mis parientes. Puedo asegurarle que no traspasó las fronteras [Root.GetOnlyDynastyName] intencionadamente. Esta detención creará más mala sangre entre nuestras casas. Acuerdo resolver esto de forma pacifíca y por ello le pido que trate a mi pariente con la dignidad que su rango merece.\nSuyo,\n[From.GetTitledFirstName] de la casa [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAdynastic_rivalry.104;Yes, I wont hurt them...for now;Oui, je ne vais pas lui faire du mal… pour le moment.;;;Sí, no lo dañaré... por ahora.;;;;;;;;;x
EVTDESCdynastic_rivalry.105;A dispute between our House and [From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName] has escalated into kidnapping and the murder of envoys. Now on both sides warriors are arming and levies are being raised for what will surely be a bitter and deadly feud.;Une dispute entre notre maison et [From.GetTitle] [From.GetFirstName] de la maison [From.GetOnlyDynastyName] a dégénérée lorsque ce(tte) dernier(e) a fait enlever l'un des nôtres et exécuté un émissaire. Les bans sont désormais levés et les guerriers des deux camps se préparent à se battre dans ce qui sera sûrement une querelle sanglante et mortelle. ;;;Una disputa entre nuestra casa y [From.GetTitle] [From.GetFirstName] de la casa [From.GetOnlyDynastyName] se ha intensificado hasta el secuestro y asesinato de emisarios. Ahora, en ambos lados los guerreros se están armando y llamando a las levas. Se augura una batalla amarga y mortal.;;;;;;;;;x
EVTOPTAdynastic_rivalry.105;The [From.GetOnlyDynastyName]s will suffer;Les [From.GetOnlyDynastyName] vont souffrir !;;;Los [From.GetOnlyDynastyName] sufrirán.;;;;;;;;;x
show_me_blood_feuds;Show Blood feuds;Montrer les vendettas;;;Mostrar venganzas de sangre.;;;;;;;;;x
show_me_blood_feuds_desc;Ask your [Root.GetSpymasterName] to show all blood feuds in the world;Demander à votre [Root.GetSpymasterName] de vous montrer toutes les vendettas du monde;;;Pide al [Root.GetSpymasterName] que te muestre todas las venganzas de sangre en el mundo;;;;;;;;;x
EVTDESCynastic_rivalry.999;Your [Root.GetSpymasterName] brings you a list of all your blood feuds, and the all blood feuds ongoing in the world...;Votre [Root.GetSpymasterName] vous apporte une liste de toutes vos vendettas et de toutes les vendettas du monde…;;;El [Root.GetSpymasterName] trae una lista con todas tus venganzas de sange, y con todas las venganzas de sangre en el mundo…;;;;;;;;;x
EVTOPTAdynastic_rivalry.999;No House has a blood feud with the [Root.GetOnlyDynastyName]s;Aucune maison n'a de vendetta avec les [Root.GetOnlyDynastyName];;;Ninguna casa tiene enemistad de sangre con los [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTBdynastic_rivalry.999;These Houses are bitter enemies of House [Root.GetOnlyDynastyName];Ces maisons sont les pires ennemies de la maison [Root.GetOnlyDynastyName];;;Estas Casas son enemigas acérrimas de la Casa [Root.GetOnlyDynastyName];;;;;;;;;x
TOOLTIPLISTBLOODFEUD;House [This.GetOnlyDynastyName]\n;Maison [This.GetOnlyDynastyName]\n;;;Casa [This.GetOnlyDynastyName]\n;;;;;;;;;x
EVTOPTCdynastic_rivalry.999;These houses are in feuds;Ces maisons ont une querelle;;;Estas Casas están enemistadas;;;;;;;;;x
TOOLTIPLISTBLOODFEUDWORLD;Houses [This.GetOnlyDynastyName] and [Prev.GetOnlyDynastyName]\n;Maisons [This.GetOnlyDynastyName] et [Prev.GetOnlyDynastyName]\n;;;Casas [This.GetOnlyDynastyName] y [Prev.GetOnlyDynastyName]\n;;;;;;;;;x
EVTDESCdynastic_rivalry.9;The [feud_reconcile_target.GetOnlyDynastyName]-[Root.GetOnlyDynastyName] blood feud is a black stain on the history of both our Houses, and has caused great losses on both sides. Through peaceful negotiation, we might be able to reach an end to the animosity between us.;La vendetta entre les [feud_reconcile_target.GetOnlyDynastyName] et les [Root.GetOnlyDynastyName] est une tâche dans l'histoire de nos maisons qui a causé de nombreuses morts et destructions dans les deux camps. En négociant nous pourrions peut-être parvenir à une conclusion pacifique à l'animosité entre nous.;;;La enemistad de sangre [feud_reconcile_target.GetOnlyDynastyName]-[Root.GetOnlyDynastyName] en una negra mancha en la historia de nuestras Casas y ha causado perdidas en ambos lados. Mediante una buena negociación quizás podríamos llegar a una solución con la cual terminar con la animosidad existente entre nuestras Casas de manera pacífica.;;;;;;;;;x
EVTOPTAdynastic_rivalry.9;Yes, this feud must end. I shall send them a gift of gold;Oui, nous devons mettre fin à cette querelle ! Je vais leur faire parvenir de l'or.;;;¡Si, debemos terminas con esta enemistad! Debería mandarles algo de oro como regalo;;;;;;;;;x
TOOLTIPAdynastic_rivalry.9;[feud_reconcile_target.GetTitledFirstName] will consider your offer.\n;[feud_reconcile_target.GetTitledFirstName] va réfléchir à votre offre.\n;;;[feud_reconcile_target.GetTitledFirstName] considerará vuestra oferta.\n;;;;;;;;;x
EVTOPTBdynastic_rivalry.9;We shall tie our houses together with marriage;Nous devrions lier nos deux maisons par un mariage.;;;Deberíamos unir nuestras casas mediante un matrimonio;;;;;;;;;x
TOOLTIPBdynastic_rivalry.9;[feud_reconcile_target.GetTitledFirstName] will consider the marriage of your son and [feud_reconcile_target.GetHerHis] daughter.\n;[feud_reconcile_target.GetTitledFirstName] va réfléchir à votre offre de mariage entre votre fils et sa fille.\n;;;[feud_reconcile_target.GetTitledFirstName] considerará el matrimonio entre vuestro hijo y su hija.\n;;;;;;;;;x
EVTOPTCdynastic_rivalry.9;Never! Those filthy [feud_reconcile_target.GetOnlyDynastyName]s will always be our enemies!;Jamais ! Ces sales [feud_reconcile_target.GetOnlyDynastyName] seront toujours nos ennemis !;;;¡Nunca! ¡Esos sucios [feud_reconcile_target.GetOnlyDynastyName] serán siempre nuestros enemigos!;;;;;;;;;x
EVTDESCAdynastic_rivalry.10;An emissary of [From.GetTitledFirstNameNoRegnal] [From.GetOnlyDynastyName] has arrived in [Root.Capital.GetName] bearing a gift of gold, and a request to end the blood feud between our two Houses. Both our houses have lost greatly over the time, but do we wish to forgive them?;Un émissaire de [From.GetTitledFirstNameNoRegnal] [From.GetOnlyDynastyName] est arrivé à [Root.Capital.GetName] avec plusieurs coffres remplis d'or et une proposition de mettre fin à la vendetta qui opposent nos deux familles. Nos deux maisons ont grandement souffert, mais sommes-nous prêts à leur pardonner ?;;;Un emisario de [From.GetTitledFirstName] ha venido a mi con un cofre lleno de oro como regalo y con la petición de terminar con la enemistad de sangre y la animosidad entre nuestras dos Casas. Ambos hemos perdido mucho a lo largo de nuestra enemistad, ¿pero merecen ser perdonados?;;;;;;;;;x
EVTDESCBdynastic_rivalry.10;An emissary of [From.GetTitledFirstNameNoRegnal] [From.GetOnlyDynastyName] has arrived in [Root.Capital.GetName], along with his liege's son. [From.GetTitledFirstNameNoRegnal] wishes to end the blood feud between our two Houses by uniting us together with the marriage of his son, [feud_reconcile_starter_child.GetTitledFirstName], and my daughter, [reconcile_target_child.GetTitledFirstName]. Both our houses have lost greatly over the time, but do we wish to forgive them?;Un émissaire de [From.GetTitledFirstName] est venu à moi avec une proposition de mariage entre son fils [feud_reconcile_starter_child.GetTitledFirstName], et ma fille [reconcile_target_child.GetTitledFirstName] afin de mettre fin à la vendetta et à l'animosité qui déchirent nos deux familles. Nous avons tous grandement souffert, mais sommes-nous prêts à leur pardonner ?;;;Un emisario de [From.GetTitledFirstName] ha venido a mi con su hijo y con la petición de terminar con la enemistad de sangre y la animosidad entre nuestras dos Casas mediante la unión en matrimonio de su hijo, [feud_reconcile_starter_child.GetTitledFirstName], y de mi hija, [reconcile_target_child.GetTitledFirstName]. Ambos hemos perdido mucho a lo largo de nuestra enemistad, ¿pero merecen ser perdonados?;;;;;;;;;x
EVTOPTAdynastic_rivalry.10;Never! Those filthy [From.GetOnlyDynastyName]s will always be our enemies!;Jamais ! Ces sales [From.GetOnlyDynastyName] seront toujours nos ennemis !;;;¡Nunca! ¡Esos sucios [From.GetOnlyDynastyName] serán siempre nuestros enemigos!;;;;;;;;;x
EVTOPTBdynastic_rivalry.10;Kill the [From.GetOnlyDynastyName] emissary and take the gold!;Tuez l'émissaire [From.GetOnlyDynastyName] et emparez-vous de l'or !;;;¡Matad al emisario de [From.GetOnlyDynastyName] y coged el oro!;;;;;;;;;x
TOOLTIPAdynastic_rivalry.10;The [From.GetOnlyDynastyName]s will be angered by this.\n;Les [From.GetOnlyDynastyName] seront en colère.\n;;;Los [From.GetOnlyDynastyName] estarán furiosos por esto.\n;;;;;;;;;x
EVTOPTCdynastic_rivalry.10;It is about time we had peace, I accept this offer;Il est temps de faire la paix, j'accepte cette offre.;;;Es tiempo de que tengamos paz, aceptaré esta oferta.;;;;;;;;;x
EVTOPTDdynastic_rivalry.10;Kill the [From.GetOnlyDynastyName] emissary and take the son captive!;Tuez l'émissaire [From.GetOnlyDynastyName] et emprisonnez le fils !;;;¡Matad al emisario [From.GetOnlyDynastyName] y tomad al hijo como prisionero!;;;;;;;;;x
EVTOPTEdynastic_rivalry.10;It is time we had peace, our houses shall unite with marriage;Il est temps de faire la paix, nos maisons serons unies par le mariage.;;;Es tiempo de que tengamos paz, nuestras Casas deberían unirse mediante un matrimonio.;;;;;;;;;x
