#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCtraditional_claims.10;Our ancestors were not born to power. House Tyrell was GIVEN the Reach, after the Field of Fire. But over three hundred years, we proved ourselves more than the equals of the Gardeners. The Reach and Highgarden are ours!;Nos ancêtres n'étaient pas nés pour gouverner. On a donné le Bief à la Maison Tyrell à la suite de la Bataille du Champ de Feu. Mais après plus de trois cents ans, nous avons prouvé que nous pouvions égaler, voire dépasser les Jardinier. Le Bief et Hautjardin sont nôtres !;;;Nuestros antepasados no nacieron para gobernar. A la Casa Tyrell le fue entregado el Dominio, después del campo de fuego. Pero en más de trescientos años, hemos demostrado que podemos igualar, e incluso superar a los Gardener. El Dominio y Altojardín son nuestros!;;;;;;;;;x
EVTOPTAtraditional_claims.10;Growing strong.;Croître avec vigueur.;;;Crecer fuerte.;;;;;;;;;x
EVTDESCtraditional_claims.11;The Martells have ruled over Dorne since Queen Nymeria crossed the Broken Sea. We have kept our people safe and free for hundreds of years. Even Aegon with all his dragons could not conquer us. These usurpers will fare no better in the end.;Les Martell ont régné sur Dorne depuis que la Reine Nymeria a traversé le Détroit. Nous avons protégé notre peuple et sa liberté pendant des centaines d'années. Même Aegon et ses dragons n'ont pu nous conquérir. Ces usurpateurs seront également défaits.;;;Los Martell han gobernado sobre Dorne desde que la reina Nymeria cruzó el Brazo Roto. Hemos mantenido a nuestra gente segura y libre durante cientos de años. Incluso Aegon con todos sus dragones no nos pudo conquistar. Estos usurpadores verán quien es el mejor al final.;;;;;;;;;x
EVTOPTAtraditional_claims.11;Unbowed. Unbent. Unbroken.;Insoumis, invaincus, intacts.;;;Nunca doblegado, nunca roto.;;;;;;;;;x
EVTDESCtraditional_claims.12;When King Mern died on the Field of Fire, the Conqueror paid no heed to the laws of the Reach. He gave Highgarden to a lowly steward, when by rights it should have passed to us. We will take back that which is rightfully ours.;Lorsque le Roi Mern est mort au Champ du Feu, le Conquérant n'a pas tenu compte des lois du Bief. Il a donné Hautjardin a un modeste intendant, quand par droit, cela devait être nôtre. Nous reprendrons ce qui nous appartient légitimement.;;;Cuando el rey Mern murió en el Campo de Fuego, el Conquistador no prestó atención a las leyes del Dominio. Dio Altojardín a un administrador humilde, cuando por derecho debería haber pasado a nosotros. Vamos a recuperar lo que es nuestro por derecho.;;;;;;;;;x
EVTOPTAtraditional_claims.12;What one man steals...;Ce qu'un homme vole…;;;Lo que un hombre roba ...;;;;;;;;;x
EVTDESCtraditional_claims.13;House Frey has held the Crossing for countless generations. Hundreds of armies have crossed the Twins, and all have paid us what was owed. These new crossers may think they have not, but in time they will learn how mistaken they are.;La Maison Frey tient le Pont depuis des générations innombrables. Des centaines d'armées ont traversé les Jumeaux, et toutes ont payé ce qui nous était dû. Ces nouveaux sires du Pont pensent peut-être qu'ils n'auront rien à payer, ils apprendront bientôt à quel point ils se trompent.;;;La Casa Frey ha ocupado el Cruce durante incontables generaciones. Cientos de tropas han cruzado los Gemelos y todos nos han pagado el peaje. Estos nuevos que cruzan podrían pensar que no hacemos nada, pero con el tiempo aprenderán lo equivocados que están.;;;;;;;;;x
EVTOPTAtraditional_claims.13;We will take our toll.;Nous toucherons notre droit de péage.;;;Tomaremos nuestro peaje.;;;;;;;;;x
EVTDESCtraditional_claims.14;Houses Blackwood and Bracken have been in bitter feud against eachother since the Age of Heroes when both houses ruled as kings. The feud has continued throughout the years, aided by House Bracken's change to the Faith of the Seven. As a result our House holds claim to many lands across the river...;Les Maisons Nerbosc et Bracken entretiennent une vieille rivalité qui remonte à l'Âge des Héros, lorsqu’elles étaient toutes deux des maison royales. La conversion des Bracken à la Foi des Sept n’a fait qu’aviver un peu plus le feu de la discorde, qui a perdurée à travers les siècles. ;;;Las Casas Blackwood y Bracken tiene una vieja rivalidad desde la Edad de los Héroes, cuando ambas casas gobernaron como reyes. La disputa ha continuado a lo largo de los años, ayudado por el cambio de la Casa Bracken a la Fe de los Siete. Como resultado, nuestra casa tiene pretensión de muchas tierras al otro lado del río ...;;;;;;;;;x
EVTOPTAtraditional_claims.14;House [Root.GetOnlyDynastyName] shall prevail!;La maison [Root.GetOnlyDynastyName] prévaudra !;;;La Casa [Root.GetOnlyDynastyName] prevalecerá!;;;;;;;;;x
EVTDESCtraditional_claims.15;Daemon Blackfyre was the true heir of King Aegon IV, how can it not be so when he was given the ancestral sword Blackfyre? My bloodline is the rightful line of Kings, the Targaryen line of Aegon's son Daeron being illegitimate, and as such I will sit the Iron throne.;Daemon Feunoyr était le légitime héritier du roi Aegon IV, comme le prouve l'épée Feunoyr qu'il a reçue des mains de son père. Ma lignée est celle des rois légitimes, celle des fils de Daeron est illégitime, c'est pourquoi je me dois de récupérer le Trône de fer.;;;Daemon Fuegoscuro era el verdadero heredero del rey Aegon IV, ¿cómo no puede serlo cuando se le dio la espada ancestral Fuegoscuro? Mi linaje es la línea que corresponde a los reyes de la línea Targaryen del hijo de Aegon. El hijo de Daeron es ilegítimo, y como tal no se sentará el Trono de Hierro.;;;;;;;;;x
EVTOPTAtraditional_claims.15;For the black Dragon!;Pour le dragon noir !;;;Por el dragón negro!;;;;;;;;;x
EVTDESCtraditional_claims.16;When Aegon the Conqueror eliminated House Hoare at Harrenhal the Volmarks were left as the rightful Iron Kings, being descended from Harwyn Hardhand. Our rightful inheritance of the black line has been taken from us, we must win it back with iron!;Quand Aegon le Conquérant a éliminé la Maison Chenu à Harrenhal, les Volmark devinrent les légitimes rois de Fer, descendants d'Harwyn la Poigne. Notre légitime héritage de la lignée noire nous a été pris, nous devons le reprendre par le fer !;;;Cuando Aegon el Conquistador eliminó la Casa Hoare en Harrenhal los Volmark quedaron como los legítimos Reyes de Hierro, siendo descendientes de Harwyn Manodura. Nuestra legítima herencia nos ha sido arrebatada, ¡debemos ganarla de nuevo pagando el precio del hierro!;;;;;;;;;x
EVTOPTAtraditional_claims.16;I will wear a driftwood crown;Je porterai une couronne de bois flotté;;;Llevaré la corona de madera a la deriva;;;;;;;;;x
