EVTDESC50030;You have decreed [FromFrom.GetTitledFirstName] is to be sacrificed to the Drowned God, who will surely bless us. We tethered [FromFrom.GetHerHim] to the beach at low tide and let the sea slowly wash over [FromFrom.GetHerHim]. The prisoner struggled and pleaded, but in vain, the Drowned God took his due.;Vous avez décrété que [From.GetTitledFirstName] devait être sacrifié au Dieu Noyé, qu'il nous bénira sûrement. Nous l'avons attaché(e) sur la plage à marée basse pour laisser l'eau l'emporter lentement. Le prisonnier a longuement lutté et imploré, mais en vain, le Dieu Noyé a pris ce qui lui était dû. ;;;Ordenaste que [From.GetTitledFirstName] debía ser sacrificado al Dios Ahogado. Lo atamos en la playa durante la marea baja y dejamos que el mar se lo llevará lentamente. El prisionero luchó ferozmente e imploró en vano, el Dios Ahogado tomó lo que le fue dado.;;;;;;;;;x
EVTOPTA50030;What is dead may never die;Ce qui est mort ne saurait mourir !;;;Lo que está muerto no puede morir;;;;;;;;;x
EVTDESC50031;The followers of the Drowned God are merciless. [From.GetTitledFirstName], a staunch believer, has decreed you are to be tethered to the shore at low tide. You writh and struggle as the sea water gradually approaches and slowly submerges you. Your panic is only ceased when you finally take breath and let the sea water fill your lungs...;Les adeptes du Dieu Noyé sont sans pitié. [FromFrom.GetTitledFirstName], un croyant dévoué, a décrété que vous alliez être attaché sur le rivage à marée basse. Vous vous débattez et luttez alors que la mer approche et vous submerge lentement. Votre panique ne cesse que lorsque vous inspirez laissant l'eau emplir vos poumons.;;;Los seguidores del Dios Ahogado son despiadados. [FromFrom.GetTitledFirstName], un creyente acérrimo, ha decretado que debes ser atado a la orilla con marea baja. Luchas ferozmente e imploras en vano mientras ves como el agua se acerca poco a poco y te vas sumergiendo lentamente. Tu pánico sólo cesa cuando el agua de mar llena tus pulmones...;;;;;;;;;x
EVTOPTA50031;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x
EVTDESC50032;In the High Hall of the Eyrie is a narrow wierwood door flanked by two slender pillars named the Moon Door, behind which lies nothing but six hundred feet of air. The condemned [FromFrom.GetTitledName] is brought before the door and thrown from it to [FromFrom.GetHerHis] death.;Dans la Grande Salle des Eyrié se trouve une porte en barral entre deux fins piliers, appelée la Porte de la Lune. Derrière cette porte, rien d'autre que six cents pieds de vide, peut-être le condamné devrait-il être jeté par cette porte ?;;;En la Sala Alta del Nido de Águilas hay una estrecha puerta blanca de madera de arciano flanqueada por dos esbeltas columnas llamada la Puerta de la Luna. Detrás de esta puerta no hay nada más que seiscientos pies de aire, tal vez deberíamos arrojar al condenado [From.GetTitledName] por esta puerta?;;;;;;;;;x
EVTOPTA50032;I want to see [From.GetHerHim] fly!;Je veux le(a) voir voler !;;;Quiero ver[From.GetHerHim] volar!;;;;;;;;;x
EVTOPTB50032;No, I will give [From.GetHerHim] a quick death;Non, je lui donnerai une mort rapide.;;;No, le daré una muerte rápida.;;;;;;;;;x
EVTDESC50033;In your sky cell you have been waiting to face your fate. The goaler finally drags you to the High Hall of the Eyrie where [From.GetTitledFirstName] sits high upon [From.GetHerHis] wierwood chair. [From.GetSheHeCap] merely nods and the moon door opens to reveal nought but six hundred feet of air. The guards fling you through it as you feel your bowels release, the ground races towards you until finally no air remains...;Dans votre cellule céleste, vous avez attendu votre destin. Le geôlier vous traîne finalement dans la Grande Salle des Eyrié où [FromFrom.GetTitledFirstName] siège sur son trône en barral. [FromFrom.GetSheHeCap] acquiesce et la porte de la lune s'ouvre pour révéler six cents pieds de vide. Les gardes vous y jettent alors que vous sentez vos boyaux se relâcher, la terre ferme se précipite devant vous jusqu'à ce que le vide s'achève.;;;Has estado esperando tu destino en la celda del cielo. Al fin, tu carcelero, te lleva a la Sala Alta del Nido de Águilas donde [FromFrom.GetTitledFirstName] se encuentra en su trono de arciano blanco. [FromFrom.GetSheHeCap] asiente con la cabeza y la puerta de la luna se abre y revela 600 pies de vacío. Los guardias te tiran al vacío y sientes que tus intestinos se vacían. Te precipitas hacia la tierra firme hasta que el vacío se acaba...;;;;;;;;;x
EVTOPTA50033;It seems I cannot fly....;Il semble qu'il ne sait pas voler…;;;Parece que no sabe volar...;;;;;;;;;x
EVTDESC50034;In the North it is said that he who passes the sentence must swing the sword, so should [FromFrom.GetTitledName] recieve [FromFrom.GetHerHis] sentence from me?;Dans le Nord, il se dit que celui qui prononce la sentence doit abattre l'épée, alors, dois-je exécuter moi-même [From.GetTitledName] ?;;;En el Norte, se dice que el que dicta la sentencia debe blandir la espada, debería ejecutar yo mismo a [From.GetTitledName]?;;;;;;;;;x
EVTOPTA50034;Yes, it is the old way;Oui, c'est l'ancienne voie.;;;Sí, es la tradición;;;;;;;;;x
EVTOPTB50034;That is too gruesome for me;C'est trop horrible pour moi.;;;Es demasiado horrible para mí;;;;;;;;;x
EVTTOOLTIP50033;shall be flung from the moon door\n;doit être jeté par la porte de la lune\n;;;será arrojado por la puerta de la luna\n;;;;;;;;;x
EVTTOOLTIP50035;shall be beheaded by you\n;doit être décapité par vous\n;;;será decapitado por ti mismo\n;;;;;;;;;x
TOOLTIPexperienced_beheader;You will become an experienced headsman, no longer fazed by your duty\n;Vous deviendrez un chef expérimenté, plus jamais intimidé par son devoir\n;;;Te convertirás en un verdugo con experiencia, cumplirás con tu deber sin inmutarte\n;;;;;;;;;x
opinion_flayed_kin;Flayed My Kinsman Alive;A écorché vif un de mes parents;;;Desolló vivo a un pariente;;;;;;;;;x
opinion_flayed_lover;Flayed My Lover Alive;A écorché vif mon amant(e);;;Desolló viva a mi amante;;;;;;;;;x
opinion_flayed_friend;Flayed My Friend Alive;A écorché vif mon ami(e);;;Desolló vivo a mi amigo;;;;;;;;;x
opinion_flayed_child;Flayed Child Alive;A écorché vif un enfant;;;Desolló vivo a un niño;;;;;;;;;x
weirwood_decision;Sacrifice to Weirwood.;Sacrifier au barral.;;;Ejecutar a [Root.GetTitledFirstName] enfrente del Arciano.;;;;;;;;;x
weirwood_decision_desc;If we are to execute [Root.GetBestName], we should take him to the Weirwood and slit his throat in front of it as an offering to the Old Gods.;Si nous exécutons [Root.GetBestName], nous devrions l'amener devant le barral pour lui trancher la gorge. Ce sera une offrande aux Anciens Dieux.;;;Si vamos a ejecutar a [Root.GetBestName], deberíamos llevarlo enfrente del Arciano y cortarle el cuello delante de él como una ofrenda a los Antiguos Dioses.;;;;;;;;;x
EVTDESC50036;You have decreed [From.GetTitledFirstName] is to be sacrificed to the Old Gods, who will surely bless us. We dragged [From.GetHerHim] to the Weirwood Tree and slit his throat.;Vous avez décrété que [From.GetTitledFirstName] serait sacrifié aux Anciens Dieux pour obtenir leur bénédiction en retour. Nous l'avons mené devant le barral avant de lui couper la gorge.;;;Has decretado que [From.GetTitledFirstName] sea sacrificado a los Dioses Antiguos. Arrastras a [From.GetHerHim] al Arciano y le cortas la garganta.;;;;;;;;;x
EVTOPTA50036;It shall be done;Cela doit être fait.;;;Así se hará;;;;;;;;;x
EVTDESC50037;The followers of Old Gods can be brutal. [FromFrom.GetTitledFirstName], a godly man, has decreed you are to be sacrificed in front of a Weirwood Tree for the Old Gods.  You are dragged into the clearing kicking and screaming and forced to kneel in front of the great white tree with red leaves as your throat is slit.;Les fidèles des Anciens Dieux peuvent être brutaux. [FromFrom.GetTitledFirstName], un homme pieux, a décrété que vous deviez être sacrifié devant un barral des Anciens Dieux. Vous criez, vous vous débattez, mais on vous traîne de force avant de vous obliger à vous agenouiller devant le grand arbre blanc. Les yeux du barral vous scrutent alors qu'on vous ouvre la gorge.;;;Los fieles de los Antiguos dioses pueden ser brutales. [FromFrom.GetTitledFirstName], un hombre piadoso, ha decretado que debes ser sacrificado frente un Arciano de los Dioses Antiguos. Te arrastran hacia el árbol pateando y gritando y te obligan a arrodillarte delante del gran árbol blanco con hojas de color rojo, una vez allí notas como tu garganta se corta...;;;;;;;;;x
EVTOPTA50037;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x
crucified;Crucified;Crucifié(e);;;Crucificado;;;;;;;;;x
crucified_desc;This character was hung from the cross and left to die;Ce personnage a été cloué à une croix, puis on l'a laissé mourir.;;;Este personaje fue colgado en una cruz y dejado morir.;;;;;;;;;x
EVTDESC50054;The condemned prisoner [FromFrom.GetTitledFirstName] is brought outside where [FromFrom.GetSheHe] is lain on a cross. [FromFrom.GetSheHeCap] screams as your jailors nail [FromFrom.GetHerHim] to the wood and hang [FromFrom.GetHerHim] outside in the sun, where [FromFrom.GetSheHe] will die an agonising death.;Voulez-vous clouer votre prisonnier à une croix et le laisser plusieurs jours au soleil pour qu'il décède ?;;;Quieres dejar a tu prisionero en una cruz y dejarlo varios días al sol hasta que muera?;;;;;;;;;x
EVTOPTA50054;Yes, this will stand as a warning;Oui, voilà un bel avertissement.;;;Sí, servirá como advertencia;;;;;;;;;x
EVTOPTB50054;I shall give a merciful death;Je préfère lui donner une mort plus propre et rapide.;;;Prefiero darle una muerte limpia y rápida.;;;;;;;;;x
EVTDESC50055;Your gaoler comes in and puts a bag over your head before dragging you out into the sun, he removes the bag hangs you up onto a cross and before you know what is happening you feel pain in your hands and feet as nails are hammered into them. As you look up the man turns his back and walks away whilst you hang there in the sun.;Votre geôlier pénètre dans votre cellule, vous met un sac sur la tête puis vous tire dehors, sous le soleil. Il enlève le sac puis cloue vos mains et vos pieds sur une croix, la douleur est insupportable. La croix est rapidement dressée et l'homme s'en va, vous laissant là, torturé par les morsures du soleil.;;;Tu carcelero entra en tu celda, te pone una bolsa en la cabeza y te tira al suelo bajo el sol. Te quita la bolsa y te clava los pies y las manos a una cruz, el dolor es insoportable. Levanta la cruz y el hombre se aleja, dejándote allí colgado acompañado únicamente por el sol...;;;;;;;;;x
EVTOPTA50055;You aren't just going to leave me here... right?;Vous n'allez tout de même pas me laisser là comme ça ? Non ?...;;;No me irás a dejar de esta manera...no?;;;;;;;;;x
snu_snu;Snu Snu;Sexuellement torturé;;;Torturado sexualmente;;;;;;;;;x
snu_snu_desc;This character died by Snu Snu;Ce personnage est mort d'avoir été violé à mort;;;Este personaje murió por haber sido violado hasta la muerte.;;;;;;;;;x
EVTDESC50056;You have many of the women go to your prisoner [FromFrom.GetTitledFirstName] and engage in the sacred act of Snu Snu. A harsh punishment yet effective.;Voulez-vous que de nombreuses femmes rendent visites à votre prisonnier pour le violer jusqu'à ce que mort s'ensuive ? Une dure punition mais efficace.;;;Quieres que numerosas mujeres visiten al prisionero para violarlo hasta la muerte? Un duro castigo, pero eficaz.;;;;;;;;;x
EVTOPTA50056;None will withstand the Snu Snu!;Une mise à mort originale !;;;Nadie resiste ese ritmo.. ;;;;;;;;;x
EVTOPTB50056;He can have a merciful death...;Il peut avoir une meilleure mort…;;;Podría tener una mejor muerte.;;;;;;;;;x
EVTDESC50057;In the middle of the night many women enter your cell and declare thy will engage in Snu Snu with you, initially you are fearful until you discover what the act of Snu Snu entails... the night is full of activity but in the end of it…;"Au milieu de la nuit, de nombreuses femmes pénètrent dans votre cellule et annoncent qu'elles vont vous violer jusqu'à ce que mort s'ensuive. Au départ cela vous semble la meilleure des morts, mais après quelques heures ""d'activités""…";;;A medianoche, numerosas doncellas entran en tu celda mirándote fijamente y riéndose entre ellas. Al principio tienes miedo hasta que descubres lo que van a hacer contigo... Que esta noche no acabe nunca...;;;;;;;;;x
EVTOPTA50057;Your heart gives out... a lovely way to die...;Votre cœur finit par lâcher… Une belle mort diront certains.;;;Tu corazón dejó de funcionar...Una bella muerte dirán algunos.;;;;;;;;;x
burned_alive;Burned Alive;Brûlé(e) vif;;;Quemado vivo;;;;;;;;;x
burned_alive_desc;This character died by being burned alive, a painful way to die.;Ce personnage a été brûlé vif, une mort des plus douloureuses.;;;Este pernosaje ha sido quemado vivo, una de las muertes más dolorosas.;;;;;;;;;x
thrown_out_moon_door;Thrown out of the Moon Door;Jeté(e) par la porte de la Lune;;;Arrojado por la Puerta de la Luna;;;;;;;;;x
thrown_out_moon_door_desc;This character was executed by being thrown out of the Moon Door in the Eyrie, flying through the air and finally meeting their end at the ground.;"Ce personnage a été précipité dans le vide par la porte de la Lune aux Eyrié. Après avoir ""volé"", il s'est écrasé plusieurs centaines de mètres plus bas.";;;Este personaje fue arrojado vivo por la Puerta de la Luna del Nido de Águilas. ;;;;;;;;;x
black_goat_decision;Sacrifice to the Black Goat.;Sacrifier à la Chèvre Noire.;;;Sacrificio a la Cabra Negra.;;;;;;;;;x
black_goat_decision_desc;If we are to execute [Root.GetBestName], we should take him to the Temple and slit his throat in the autel as an offering to the Black Goat.;Si nous exécutons [Root.GetBestName], nous devrions l'emmener dans le temple et lui trancher la gorge sur l'autel pour l'offrir en sacrifice à la Chèvre Noir.;;;Si vamos a ejecutar a [Root.GetBestName], deberíamos llevarlo al Templo y degollarlo en el altar como una ofrenda a la Cabra Negra.;;;;;;;;;x
EVTDESC50038;You have decreed [From.GetTitledFirstName] is to be sacrificed to the Black Goat, who will surely bless us. We dragged [From.GetHerHim] to the altar and slit his throat.;Vous avez décidé que [From.GetTitledFirstName] serait sacrifié à la Chèvre Noire, qui nous bénira sûrement en retour. Nous l'avons emmené jusqu'à l'autel avant de lui trancher la gorge.;;;Has decretado que [From.GetTitledFirstName] sea sacrificado a la Cabra Negra, quien nos bendecirá por ello. Lo arrastramos al altar y lo degollamos.;;;;;;;;;x
EVTOPTA50038;It shall be done;Cela doit être fait.;;;Así se hará;;;;;;;;;x
EVTDESC50039;The Black Goat is a dark and terrible deity. [FromFrom.GetTitledFirstName], a pious man, has decreed your blood is to be spilled as a sacrifice to the Black Goat.  You are dragged into the temple and placed on the bloodstained altar where your throat is slit.;La Chèvre Noire est une sombre et terrible divinité. [FromFrom.GetTitledFirstName], un homme pieux, a décidé que votre sang serait versé en sacrifice à la Chèvre Noire. Vous êtes emmené jusqu'au temple et au sanglant autel où on vous tranche la gorge.;;;La Cabra Negra es una deidad oscura y terrible. [FromFrom.GetTitledFirstName], un hombre piadoso, ha decretado que tu sangre debe ser derramada como sacrificio a la Cabra Negra. Te arrastran hacia el templo y te colocan en un altar manchado de sangre donde te corta la garganta.;;;;;;;;;x
EVTOPTA50039;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x
hyrkoon_sacrifice_decision;Sacrifice to the Gods;Sacrifier aux Dieux;;;Sacrificio a los Dioses;;;;;;;;;x
hyrkoon_sacrifice_decision_desc;If we are to execute [Root.GetBestName], we should do so as an offering to the Gods.;Si nous voulons exécuter [Root.GetBestName], nous pourrions le faire en tant qu'offrande aux dieux.;;;Si vamos a ejecutar a [Root.GetBestName], deberíamos hacerlo como una ofrenda a los Dioses.;;;;;;;;;x
EVTDESC50058;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution, and you proceed to strangle [FromFrom.GetHerHim] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous l'étrangler de vos propres mains ? ;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución, tal vez debería estrangularlo con mis propias manos?;;;;;;;;;x
EVTDESC50058B;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] mother [FromFrom.Mother.GetTitledFirstName] is here as well, so that you can make her watch as you strangle her [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir sa mère [From.Mother.GetTitledFirstName], pour qu'elle puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a su madre [From.Mother.GetTitledFirstName] para que observe como estrangulo a su hijo con mis propias manos?;;;;;;;;;x
EVTDESC50058C;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] father [FromFrom.Father.GetTitledFirstName] is here as well, so that you can make her watch as you strangle his [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir son père [From.Father.GetTitledFirstName] pour qu'il puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a su padre [From.Father.GetTitledFirstName] para que pueda ver como estrangulo a su hijo con mis propias manos?;;;;;;;;;x
EVTDESC50058D;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] children are here as well, so that you can make them watch as you strangle their [FromFrom.GetFatherMother] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir ses enfants pour qu'ils puissent vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a sus hijos para que me vean estrangular a su padre con mis propias manos?;;;;;;;;;x
EVTOPTA50058;Yes, I shall squeeze the life from [FromFrom.GetHerHim]!;Oui, je vais lui prendre la vie !;;;Sí, estrujaré su vida!;;;;;;;;;x
EVTOPTB50058;That is a barbaric notion;Voilà qui est bien barbare.;;;Esa es una idea bárbara;;;;;;;;;x
EVTDESC50059;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has had your [GetFromFromRelation] [FromFrom.GetTitledFirstName] executed. You are made to watch as [From.GetSheHe] strangles poor [FromFrom.GetFirstName] to death with [From.GetHerHis] bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] a fait exécuter votre [GetFromFromRelation] [FromFrom.GetTitledFirstName]. On vous a forcé à regarder tandis qu'[From.GetSheHe] étranglait le(a) pauvre [FromFrom.GetFirstName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] ha ejecutado a tu [GetFromFromRelation] [FromFrom.GetTitledFirstName]. Te hace ver como estrangula a [FromFrom.GetFirstName] con sus manos desnudas.;;;;;;;;;x
EVTOPTA50059;This is barbaric!;Quelle barbarie !;;;Esto es una barbarie!;;;;;;;;;x
death_eaten;Cannibalised;Mangé par des cannibales;;;;;;;;;;;;x
death_eaten_desc;This character was put to death and then eaten by his cannibal killers for their supper.;Ce personnage a été mis à mort puis mangé par ses assassins cannibales à leur souper.;;;;;;;;;;;;x
EVTDESCwildling.66;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is ritually slain, and then roasted over a fire so [FromFrom.GetSheHe] can be eaten with your fellow clansmen!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes avec ceux de votre clan ?;;;;;;;;;;;;x
EVTDESCwildling.66B;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is ritually slain, and then you proceed to gorge on [FromFrom.GetherHis] remains! You will have enough raw meat to last many days!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes ?;;;;;;;;;;;;x
EVTOPTAwildling.66;A [FromFrom.Culture.GetName] will be delicious!;Oui, un [From.Culture.GetName] serait délicieux !;;;;;;;;;;;;x
EVTDESCwildling.67;[From.GetTitledFirstName] comes to your cell and brings you to be excuted, along the way informing how [From.GetSheHe] and the rest of [From.GetHerHis] clan will cook up and feast on your remains for their supper...;[From.GetTitledFirstName] se rend à votre cellule et vous emmène pour être exécuté(e), en vous racontant le long du chemin comment, avec ceux de son clan, l'on va vous faire cuire et festoyer de vos restes pour leur souper …;;;;;;;;;;;;x
EVTOPTAwildling.67;How demeaning...;Quel avilissement !;;;;;;;;;;;;x
EVTOPTBwildling.67;Who cares... I'll be dead anyway...;Quelle importance…  Je serai mort(e) de toute façon...;;;;;;;;;;;;x
EVTDESCwildling.68;[From.GetTitledFirstName] and [From.GetHerHis] clansmen have executed your [GetFromFromRelation] and then feasted on [FromFrom.GetHerHis] remains for their supper...;[From.GetTitledFirstName] et son clan ont exécuté votre [GetFromFromRelation] et festoyé avec ses restes pour leur souper...;;;;;;;;;;;;x
EVTOPTAwildling.68;How disgusting!;Quelle horreur!;;;;;;;;;;;;x
DEATH_BATTLE_RAIDING;gloriously died in battle whilst raiding by $KILLER$;est mort glorieusement au combat lors d'un raid mené par $KILLER$;;;;;;;;;;;;x
DEATH_BATTLE_RAIDING_NO_KILLER;gloriously died in battle whilst raiding;mort glorieusement au combat lors d'un raid;;;;;;;;;;;;x
DEATH_TOURNEY_JOUST;was unfortunately killed in a tourney joust by $KILLER$;a été malheureusement tué(e) lors d'une joute dans un tournoi par $KILLER$;;;;;;;;;;;;x
DEATH_TOURNEY_JOUST_NO_KILLER;was unfortunately killed in a tourney joust;a été malheureusement tué(e) lors d'une joute dans un tournoi;;;;;;;;;;;;x
DEATH_BANDITS;was killed by bandits;a été tué(e) par des bandits;;;;;;;;;;;;x
DEATH_STILLBORN;died stillborn;était mort-né(e);;;;;;;;;;;;x
DEATH_SOLD_SLAVE;was sold to an unknown slave trader;a été vendu(e) à un marchand d'esclave inconnu;;;;;;;;;;;;x
DEATH_DRAGON;was killed by the dragon $KILLER$;a été tué(e) par le dragon $KILLER$;;;;;;;;;;;;x
DEATH_DRAGON_NO_KILLER;was killed by a dragon;a été tué(e) par un dragon;;;;;;;;;;;;x
DEATH_BATTLE_DRAGON_FIRE;was killed by $KILLER$'s dragon;a été tué(e) par le dragon de $KILLER$;;;;;;;;;;;;x
DEATH_BATTLE_DRAGON_FIRE_NO_KILLER;was killed by a dragon rider;a été tué(e) par un chevaucheur de dragon;;;;;;;;;;;;x
DEATH_DRAGON_DUEL;was killed by $KILLER$ in an epic dragon duel;a été tué(e) par $KILLER$ dans un duel de dragons épique;;;;;;;;;;;;x
DEATH_DRAGON_DUEL_NO_KILLER;was killed in an epic dragon duel;a été tué(e) dans un duel de dragons épique;;;;;;;;;;;;x
DEATH_ACCIDENT_FACELESS;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;;;;;;;;;;x
DEATH_ACCIDENT_FACELESS_NO_KILLER;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;;;;;;;;;;x
DEATH_ACCIDENT_HORSE;was tragically trampled to death by a horse;a été tragiquement et mortellement piétiné(e) par un cheval;;;;;;;;;;;;x
DEATH_ACCIDENT_DRAGON_HATCHING;was burnt to death during $KILLER$'s attempt to hatch a dragon egg;a été brûlé(e) mortellement pendant la tentative de $KILLER$ pour faire éclore un oeuf de dragon;;;;;;;;;;;;x
