#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Province cultures will never be converted.;Les cultures provinciales ne seront jamais converties;;;;;;;;;;;;x
RULE_NON_LORE_INVASIONS_RARE_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will occur, but the chance of them happening is decreased by a factor of three.;Invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été, mais la probabilité qu'elles se produisent est diminuée d'un facteur 3.;;;;;;;;;;;;x
RULE_NON_LORE_INVASIONS_OFF_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will §RNOT§! occur.;Les invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été §RNE§! se produiront §RPAS§!.;;;;;;;;;;;;x
RULE_DRAGON_HATCHING;Dragon Hatching & Taming;Éclosion et apprivoisement des dragons;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_NORMAL_DESC;The difficulty of hatching and taming Dragons is normal.;La difficulté d'éclosion et d'apprivoisement des dragons est normale.;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_EASY;Easy;Facile;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_EASY_DESC;The difficulty of hatching and taming Dragons is easier than normal, twenty five times more likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est plus facile que la normale, 25 fois plus de succès en apprivoisement.;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_LESS_HARD;Less Hard;Moins difficile;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_LESS_HARD_DESC;The difficulty of hatching and taming Dragons is slightly less hard than normal, five times more likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est légèrement moins difficile que la normale, 5 fois plus de succès en apprivoisement.;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_HARD;Hard;Difficile;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_HARD_DESC;The difficulty of hatching and taming Dragons is harder than normal, three times less likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est plus difficile que la normale, 3 fois moins de succès en apprivoisement.;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY;Valyrian Only;Valyrien uniquement;;;;;;;;;;;;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY_DESC;The hatching and taming Dragons is limited to Valyrian cultures and High Valyrian Dynasties.;L'éclosion et l'apprivoisement des dragons est limitée aux cultures valyriennes et aux dynasties haut-valyriennes.;;;;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL;High Valyrian Cull; Cult. haut Valyriennes;;;;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL_ON_DESC;Lowborn High Valyrian courtiers that are spawned by the game will be automatically culled. Character conversion to High Valyrian is also prohibited.;Les courtisans haut-valyriens de basse naissance créés par le jeu sont automatiquement éliminés. La conversion de personnages à la culture haut-valyrienne est également interdite.;;;;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL_OFF_DESC;Lowborn High Valyrian courtiers that are spawned by the game will §RNOT§! be automatically culled. Character conversion to High Valyrian is allowed.;Les courtisans haut-valyriens de basse naissance créés par le jeu §RNE§! sont §RPAS§! automatiquement éliminés. La conversion de personnages à la culture haut-valyrienne est autorisée.;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS;Duel Outcome Randomness;Résultat de duel aléatoire;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_NORMAL_DESC;Duel Outcomes will have a slight degree of randomness (e.g. A formidable warrior will have a §Y80%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une légère composante aléatoire ( Ex. : un guerrier redoutable aura §Y80%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW;Very Low;Très bas;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW_DESC;Duel Outcomes will have a very low degree of randomness (e.g. A formidable warrior will have a §Y98%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une très basse composante aléatoire ( Ex. : un guerrier redoutable aura §Y80%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW;Low;Bas;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW_DESC;Duel Outcomes will have a lower degree of randomness  (e.g. A formidable warrior will have a §Y90%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une plus basse composante aléatoire ( Ex. : un guerrier redoutable aura §Y90%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH;High;Haut;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH_DESC;Duel Outcomes will have a higher degree of randomness  (e.g. A formidable warrior will have a §Y66%§! chance of winning against a trained warrior, all else being equal);Les résultats de duel auront une haute composante aléatoire ( Ex. : un guerrier redoutable aura §Y66%§! de chance de gagner contre un guerrier entrainé, toutes choses égales par ailleurs);;;;;;;;;;;;x
RULE_NOMAD_INVASIONS;Nomad Invasions;Invasions nomades;;;;;;;;;;;;x
RULE_NOMAD_INVASIONS_NORMAL_DESC;Nomads are limited to invading members of their own culture unless they have taken the mantle Greatest of Khals or Jhattar of the Jogos Nhai.;Les nomades sont limités à l'invasion des membres de leur propre culture à moins qu’ils aient pris la dignité de Grand Khal ou de Jhattar des Jogos Nhai.;;;;;;;;;;;;x
RULE_NOMAD_INVASIONS_UNRESTRICTED_DESC;Nomads are §RNOT§! restrcited in whether they can invade or not.;Les nomades ne sont §RPAS§! limités dans ce qu'ils peuvent envahir.;;;;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT;High Lordship Creation Requirement;Besoin de créer une Haute-seigneurie;;;;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT_ON_DESC;You must directly own at least one province in a High Lordship to be able to create the title.;Vous devez directement posséder au moins une province dans une Haute-seigneurie pour être capable de créer le titre.;;;;;;;;;;;;x
RULE_HL_CREATION_REQUIREMENT_OFF_DESC;You do §RNOT§! need to directly own a province in a High Lordship to be able to create the title.;Vous n'avez §RPAS§! besoin de posséder directement une province dans une Haute-seigneurie pour être capable de créer le titre.;;;;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS;Disinheritance Decisions ;Décisions de déshériter;;;;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS_NORMAL_DESC;Disinheritance decisions can only be taken under certain circumstances.;Les décisions de déshériter ne peuvent être prises que dans certaines circonstances;;;;;;;;;;;;x
RULE_DISINHERITANCE_DECISIONS_UNRESTRICTED_DESC;Disinheritance decisions can be taken at §Rany§! time.;Les décisions de déshériter peuvent être prises à tout moment;;;;;;;;;;;;x
RULE_ABDICATION;Abdication;Abdication;;;;;;;;;;;;x
RULE_ABDICATION_OFF_DESC;Rulers cannot voluntarily abdicate.;Les souverains ne peuvent pas abdiquer volontairement;;;;;;;;;;;;x
RULE_ABDICATION_ON_DESC;Rulers §Rcan§! voluntarily abdicate.;Les souverains peuvent volontairement abdiquer;;;;;;;;;;;;x
RULE_COLINISATION_COST;Colonisation Cost;Coût de colonisation;;;;;;;;;;;;x
RULE_COLINISATION_COST_NORMAL_DESC;The cost to colonise a province is §Y1000§!¤ for normal colonies, and §Y500§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y1000§! pièces d'or.;;;;;;;;;;;;x
RULE_COLINISATION_COST_CHEAP;Cheap;Bas;;;;;;;;;;;;x
RULE_COLINISATION_COST_CHEAP_DESC;The cost to colonise a province is §Y400§!¤ for normal colonies, and §Y200§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y400§! pièces d'or.;;;;;;;;;;;;x
RULE_COLINISATION_COST_EXPENSIVE;Expensive;Cher;;;;;;;;;;;;x
RULE_COLINISATION_COST_EXPENSIVE_DESC;The cost to colonise a province is §Y1600§!¤ for normal colonies, and §Y800§!¤ for nomadic provinces.;Le coût pour coloniser une province est de §Y1600§! pièces d'or.;;;;;;;;;;;;x
RULE_COLINISATION_TIME;Colonisation Time;Temps pour coloniser;;;;;;;;;;;;x
RULE_COLINISATION_TIME_NORMAL_DESC;The time to colonise a province is unchanged. (A medium sized colony will take on average §Y50§! years to complete.);Le temps pour coloniser une province est inchangé;;;;;;;;;;;;x
RULE_COLINISATION_TIME_SHORT;Short;Court;;;;;;;;;;;;x
RULE_COLINISATION_TIME_SHORT_DESC;The time to colonise a province is decreased by a factor of two. (A medium sized colony will take on average §Y25§! years to complete.);Le temps pour coloniser une province est réduit d'un facteur 2;;;;;;;;;;;;x
RULE_COLINISATION_TIME_LONG;Long;Long;;;;;;;;;;;;x
RULE_COLINISATION_TIME_LONG_DESC;The time to colonise a province is increased by a factor of two. (A medium sized colony will take on average §Y100§! years to complete.);Le temps pour coloniser une province est augmenté d'un facteur 2;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS;Battlefield Duel Occurence;Survenance d'un duel sur le champ de bataille;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_NORMAL_DESC;The occurence of battlefield duels is unchanged.;La survenance d'un duel sur le champ de bataille est inchangée;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT;More Frequent;Plus fréquent;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT_DESC;The occurence of battlefield duels is increased by a factor of five.;La survenance d'un duel sur le champ de bataille est accrue d'un facteur 5;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_RARE_DESC;The occurence of battlefield duels is idecreased by a factor of five.;La survenance d'un duel sur le champ de bataille est diminuée d'un facteur 5;;;;;;;;;;;;x
RULE_SHATTERED_REALMS;Shattered Realms;Domaines divisés;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_OFF_DESC;The world will not be shattered into smaller realms.;Le monde ne sera pas divisé en petits domaines;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_COUNTIES;Counties;Comtés;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_COUNTIES_DESC;The world §Rwill§! be shattered into individual §Ycounties§!.;Le monde §Rsera§! divisé en §Jcomtés§! individuels;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_DUCHIES;Duchies;Duchés;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_DUCHIES_DESC;The world §Rwill§! be shattered into individual §Yduchies§!.;Le monde §Rsera§! divisé en §Jduchés§! individuels;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_KINGDOMS;Kingdoms;Royaumes;;;;;;;;;;;;x
RULE_SHATTERED_REALMS_KINGDOMS_DESC;The world §Rwill§! be shattered into individual §Ykingdoms§!.;Le monde §Rsera§! divisé en §Jroyaumes§! individuels;;;;;;;;;;;;x
RULE_SYMMETRICAL_START;Symmetrical Start;Démarrage symétrique;;;;;;;;;;;;x
RULE_SYMMETRICAL_START_OFF_DESC;Different provinces will start off with different base values to indicate the level of the castle/city.;Différentes provinces démarrent avec différentes valeurs de base pour indiquer le niveau du château/ de la cité;;;;;;;;;;;;x
RULE_SYMMETRICAL_START_ON_DESC;All provinces will start off with §Rno§! base value, the world starts off on a level playing field.;Toutes les provinces démarrent §Rsans§! valeur de base, le monde démarre sur la même base;;;;;;;;;;;;x
RULE_AMBITION_INVASION;Expand Realm Ambition Invasions;Ambition d'expansion territoriale par invasion;;;;;;;;;;;;x
RULE_AMBITION_INVASION_NORMAL_DESC;The Expand Realm ambition will allow rulers to invade if they meet the criteria to take the ambition and are one of ambitious, ruthless or greedy.;L'ambition d'expansion territoriale autorise les seigneurs à envahir s'ils rencontrent le critère pour parvenir à l'ambition qui sont l'un parmi ambitieux, sans pitié, cupide;;;;;;;;;;;;x
RULE_AMBITION_INVASION_OFF_DESC;The Expand Realm ambition is §Rdisabled§! for all rulers.;L'ambition d'expansion territoriale est §Rdésactivée§! pour tous les seigneurs.;;;;;;;;;;;;x
RULE_AMBITION_INVASION_UNRESTRICTED_DESC;Rulers are able to freely invade foreign realms without restriction.;Les seigneurs sont autorisés à envahir les territoires étrangers sans restriction.;;;;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION;Enhanced Female Marriage AI;IA mariage des femmes étendu;;;;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION_ON_DESC;AI Marriages for female rulers, heirs or all family in cognatic realms are managed. The AI may be forced to get another matrilineal marriage or divorce the husband to preserve their dynasty.;L'IA de mariage pour les femmes souveraines, héritières ou des familles en succession cognatique est gérée. L'IA peut être forcée d'admettre un autre mariage matrilinéaire ou de divorcer l'époux pour préserver leur dynastie.;;;;;;;;;;;;x
RULE_AI_FEMALE_MARRIAGE_CORRECTION_OFF_DESC;AI Marriages for female rulers, heirs or family in cognatic realms are §RNOT§! managed. The AI will accept any marriage or betrothal as originally proposed.;L'IA de mariage pour les femmes souveraines, héritières ou des familles en succession cognatique n'est §RPAS§! gérée. L'IA accepte tout mariage ou fiançailles tels qu'originellement proposés.;;;;;;;;;;;;x
RULE_EDUCATION_COSTS;Education Costs;Coût d'éducation;;;;;;;;;;;;x
RULE_EDUCATION_COSTS_NORMAL_DESC;Educating a child will cost the normal amount of gold.;L'éducation d'un enfant coûte le montant normal en or.;;;;;;;;;;;;x
RULE_EDUCATION_COSTS_LOW;Low;Bas;;;;;;;;;;;;x
RULE_EDUCATION_COSTS_LOW_DESC;Educating a child will cost a low amount of gold.;L'éducation d'un enfant coûte un faible montant en or.;;;;;;;;;;;;x
RULE_EDUCATION_COSTS_NONE;None;Sans;;;;;;;;;;;;x
RULE_EDUCATION_COSTS_NONE_DESC;Educating a child will cost no gold.;L'éducation d'un enfant ne coûte rien.;;;;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS;Traditional Dynastic Claims;Prétentions dynastiques traditionnelles;;;;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS_ON_DESC;The Great Houses of Westeros will always have claims on their traditional lands unless they grant them to a new House themselves.;Les grandes maisons de Westeros ont toujours des prétentions sur leur territoires traditionnels jusqu'à ce qu'elles les accordent elles-mêmes à une nouvelle maison.;;;;;;;;;;;;x
RULE_TRADITIONAL_DYNASTIC_CLAIMS_OFF_DESC;The Great Houses of Westeros will §RNOT§! have claims on their traditional lands.;es grandes maisons de Westeros n'ont §RPAS§! de prétentions sur leur territoires traditionnels.;;;;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER;Dance of Dragons Spoiler Remover;Retrait de spoilers sur la Danse des Dragons;;;;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER_OFF_DESC;DISABLED: If you want to avoid certain A Dance with Dragons spoilers in pre-AFFC scenarios §Genable§! this option.;ANNULER : si vous voulez annuler certains spoilers de A Dance with Dragons dans les scénarios pré-AFFC §GActiver§! Cette option.;;;;;;;;;;;;x
RULE_DOD_SPOILER_REMOVER_ON_DESC;§GENABLED§!: If you want to avoid certain A Dance with Dragons spoilers in pre-AFFC scenarios §Genable§! this option.;§GACTIVER§! : si vous voulez annuler certains spoilers de A Dance with Dragons dans les scénarios pré-AFFC §GActiver§! Cette option.;;;;;;;;;;;;x
RULE_DYNASTIC_STABILITY;Dynastic Stability;Stabilité dynastique;;;;;;;;;;;;x
RULE_DYNASTIC_STABILITY_OFF_DESC;Characters will not change dynasty upon inheriting a title an ancestor previously held.;Un personnage ne change pas de dynastie lorsqu'il hérite d'un titre porté anciennement par un de ses ancêtres;;;;;;;;;;;;x
RULE_DYNASTIC_STABILITY_ON_DESC;Allows a character to §Radopt the dynasty§! of an ancestor when they gain a title if the ancestor held it in the past, as long as they are not already heir or pretender to another title that is in their current dynasty.;Autorise un personnage à §Radopter la dynastie§! d'un ancêtre quand il gagne un titre porté par cet ancêtre dans le passé, aussi longtemps qu'il n'y a pas héritage ou prétention à un autre titre qui est dans l'actuelle dynastie.;;;;;;;;;;;;x
RULE_R_L_J;R+L=J;R+L=J;;;;;;;;;;;;x
RULE_R_L_J_OFF_DESC;R+L=J DISABLED §RSPOILER WARNING: DO NOT ENABLE THIS IF YOU DON'T KNOW WHAT IT IS§!;R+L=J DESACTIVER §RATTENTION SPOILER : NE PAS ACTIVER SI VOUS NE SAVEZ PAS CE QUE C'EST§!;;;;;;;;;;;;x
RULE_R_L_J_ON_DESC;R+L=J §GENABLED§! §RSPOILER WARNING: DO NOT ENABLE THIS IF YOU DON'T KNOW WHAT IT IS§!;R+L=J §GACTIVER§! §RATTENTION SPOILER : NE PAS ACTIVER SI VOUS NE SAVEZ PAS CE QUE C'EST§!;;;;;;;;;;;;x
RULE_EPIDEMICS_DEADLY_DESC;The Great Spring Sickness will appear frequently and be extraordinarily deadly. §RWARNING: This setting is not recommended for a normal game!§!;Le Fléau de Printemps apparaît fréquemment et est extraordinairement meurtrier. §RCette règle n'est pas recommandée pour une partie normale.§!;Die Beulenpest bricht häufig aus und ist äußerst tödlich. §RWARNUNG: Diese Einstellung wird für normale Spiele nicht empfohlen!§!;;La Peste bubónica aparecerá con frecuencia y será extraordinariamente mortal. §RADVERTENCIA: ¡No se recomienda este ajuste para un juego normal!§!;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC_DESC;The Great Spring Sickness will appear at the very earliest in the year 8300, and 25 years after the game has started. After one major outbreak the epidemic will become endemic.;Le Fléau de Printemps apparaîtra au plus tôt à l'an 8300, et 25 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens im Jahre 1100 und 25 Jahre nach Spielstart aus. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto en el año 1100 y 25 años después de comenzar la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DESC;The Great Spring Sickness will appear at the very earliest 50 years after the game has started, and might reappear 300 years after game start. After one major outbreak the epidemic will become endemic.;Le Fléau de Printemps apparaîtra au plus tôt 50 ans après le début de la partie et peut réapparaitre 300 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens 200 Jahre nach Spielstart aus und kann 500 Jahre nach Spielstart erneut auftreten. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto 200 años después de comenzar la partida y puede reaparecer 500 años después del comienzo de la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_HISTORICAL_DESC;The Great Spring Sickness will appear in the year 8209.;Le Fléau de Printemps apparaîtra en 8209.;Die Beulenpest bricht im Jahr 1345 aus und folgt dem historischen Verlauf.;;La Peste bubónica aparecerá en el año 1345 y seguirá su ruta histórica.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;A Sunset Invasion will occur at a random date, though at the earliest 75 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt 75 ans après le début de la partie.;Die Aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión azteca ocurrirá en una fecha al azar, aunque como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;A Sunset Invasion will not occur.;L'invasion aztèque ne se produira pas.;Die Aztekische Invasion findet nicht statt.;;La invasión azteca no tendrá lugar.;;;;;;;;;x
RULE_AZTEC_INVASION;Sunset Invasion;Invasion aztèque (§BInvasion du Soleil Couchant§!);§BSunset Invasion:§! Aztekische Invasion;;§BSunset Invasion:§! Invasión azteca;;;;;;;;;x
RULE_RAIDING_OFF_DESC;No character is allowed to raid, with the sole exception of Raiding Adventurers.;Aucun personnage n'est autorisé à piller, à part les aventuriers.;Nur Plündererabenteurer können Raubzüge durchführen. §RWARNUNG: Dadurch werden auch Wikingerüberfälle deaktiviert!§!;;Ningún personaje podrá realizar incursiones, con la única excepción de Aventureros asaltantes. §RADVERTENCIA: ¡Esto también previene las incursiones vikingas!§!;;;;;;;;;x
RULE_DEF_ATTRITION_ON_DESC;Invaders suffer harsh attrition in the lands of many religions.;Les envahisseurs subissent une sévère attrition sur les terres de nombreuses religions.;Invasoren leiden in den Ländern vieler heidnischer Religionen unter starker Zermürbung, wenn die Technologiestufe ihrer militärischen Organisation zu niedrig ist.;;Los invasores sufrirán fuerte desgaste en las tierras de muchas religiones Paganas si el nivel tecnológico de su Organización militar es demasiado bajo.;;;;;;;;;x
RULE_DEF_ATTRITION_OFF_DESC;There is no special defensive attrition in any lands.;Il n'y a pas d'attrition défensive spéciale sur aucune terre.;In heidnischen Ländern gibt es keine spezielle Defensivzermürbung.;;No hay un desgaste defensivo especial en tierras paganas.;;;;;;;;;x
RULE_OPTION_CANON;Canon;Canon;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS;Fabricating Claims;Fabriquer des revendication;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS_ON_DESC;It is possible to fabricate claims.;Il est possible de fabriquer des revendications;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS_FASTER_DESC;It takes less time on average to fabricate claims.;En moyenne, fabriquer des revendications prend moins de temps;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS_SLOWER;Slower;Plus lent;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS_SLOWER_DESC;It takes more time on average to fabricate claims.;En moyenne, fabriquer des revendications prend plus de temps;;;;;;;;;;;;x
RULE_FABRICATING_CLAIMS_OFF_DESC;It §RNOT§! is possible to fabricate claims.;Il n'est §RPAS§! possible de fabriquer des revendications.;;;;;;;;;;;;x
