#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_king;High Priest;Grand Prêtre;;;Rey-Sacerdote;;;;;;;;;x
temple_king_the_seven;King-Septon;Roi-Septon;Hoher Septon;;Septón Supremo;;;;;;;;;x
temple_king_drowned_god;Drowned-King;Roi-Noyé;;;Rey-Ahogado;;;;;;;;;x
temple_king_pagan_group;Hierophant;Hiérophante;Hierophant;;Hierofante;;;;;;;;;x
temple_king_rhllor;High Priest;Grand Prêtre;Hoher Priester;;Máximo sacerdote rojo;;;;;;;;;x
temple_king_storm_god;Storm King;Roi des tempêtes;Ertrunkener Mann;;Rey Tormenta;;;;;;;;;x
temple_king_qarth_warlocks;High Warlock;Grand Conjurateur;;;Brujo Supremo;;;;;;;;;x
temple_king_ghiscar_rel;Serene Grace;Grâce Sereine;;;Serenísima Gracia Verde;;;;;;;;;x
temple_king_shadowbinders;High Shadow;Grande Ombre;;;Sombra Suprema;;;;;;;;;x
temple_king_valyrian;Arch-Stormsinger;Archi-Enchanteur de tornades;;;Máximo Bardo de Tormentas;;;;;;;;;x
temple_king_jogos_pagan;High Moonsinger;Grande Chantelune;;;Máxima Cantora Lunar;;;;;;;;;x
temple_duke;High Priest;Grand Prêtre;Hoher Priester;;Sumo sacerdote;;;;;;;;;x
temple_duke_the_seven;Archsepton;Archisepton;;;Archiseptón;;;;;;;;;x
temple_duke_drowned_god;Drowned Lord;Lord Noyé;;;Gran Señor Ahogado;;;;;;;;;x
temple_duke_pagan_group;Archpriest;Archiprêtre;Erzpriester;;Arcipreste;;;;;;;;;x
temple_duke_rhllor;High Priest;Grand Prêtre;Hoher Priester;;Gran Sumo sacerdote rojo;;;;;;;;;x
temple_duke_drowned_god;Drowned Man;Noyé;Ertrunkener Mann;;Gran Señor Ahogado;;;;;;;;;x
temple_duke_storm_god;Storm Man;Tempêteur;Ertrunkener Mann;;Gran Señor Tormenta;;;;;;;;;x
temple_duke_qarth_warlocks;High Warlock;Grand Conjurateur;;;Gran Brujo;;;;;;;;;x
temple_duke_ghiscar_rel;Serene Grace;Grâce Sereine;;;Gran Gracia Verde;;;;;;;;;x
temple_duke_shadowbinders;Shadowbinder;Ensorceleur d'ombres;;;Gran Domador de Sombras;;;;;;;;;x
temple_duke_valyrian;Stormsinger;Enchanteur de tornades;;;Gran Bardo de Tormentas;;;;;;;;;x
temple_duke_jogos_pagan;Moonsinger;Chantelune;;;Gran Cantora Lunar;;;;;;;;;x
temple_count;Priest;Prêtre;Hoher Priester;;Sumo sacerdote;;;;;;;;;x
temple_count_the_seven;Septon;Septon;Septon;;Septón;;;;;;;;;x
temple_count_drowned_god;Drowned Man;Noyé;Ertrunkener Mann;;Señor Ahogado;;;;;;;;;x
temple_count_rhllor;Red Priest;Prêtre Rouge;Hoher roter Priester;;Sumo sacerdote rojo;;;;;;;;;x
temple_count_drowned_god;Drowned Man;Noyé;Ertrunkener Mann;;Señor Ahogado;;;;;;;;;x
temple_count_storm_god;Storm Man;Tempêteur;Ertrunkener Mann;;Señor Tormenta;;;;;;;;;x
temple_count_qarth_warlocks;Warlock;Conjurateur;;;Brujo;;;;;;;;;x
temple_count_ghiscar_rel;Green Grace;Grâce Verte;;;Gracia Verde;;;;;;;;;x
temple_count_shadowbinders;Shadowbinder;Ensorceleur d'ombres;;;Domador de Sombras;;;;;;;;;x
temple_count_valyrian;Stormsinger;Enchanteur de tornades;;;Bardo de Tormentas;;;;;;;;;x
temple_count_jogos_pagan;Moonsinger;Chantelune;;;Cantora Lunar;;;;;;;;;x
temple_baron;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_the_seven;Septon;Septon;Septon;;Septón;;;;;;;;;x
temple_baron_rhllor;Red Priest;Prêtre Rouge;Roter Priester;;Sacerdote rojo;;;;;;;;;x
temple_baron_drowned_god;Drowned Man;Noyé;Ertrunkener Mann;;Señor Ahogado;;;;;;;;;x
temple_baron_storm_god;Storm Man;Tempêteur;Ertrunkener Mann;;Señor Tormenta;;;;;;;;;x
temple_baron_qarth_warlocks;Warlock;Conjurateur;;;Brujo;;;;;;;;;x
temple_baron_ghiscar_rel;Green Grace;Grâce Verte;;;Gracia Verde;;;;;;;;;x
temple_baron_shadowbinders;Shadowbinder;Ensorceleur d'ombres;;;Domador de Sombras;;;;;;;;;x
temple_baron_valyrian;Stormsinger;Enchanteur de tornades;;;Bardo de Tormentas;;;;;;;;;x
temple_baron_jogos_pagan;Moonsinger;Chantelune;;;Cantora Lunar;;;;;;;;;x
temple_baron_female_the_seven;Septa;Septa;Septon;;Septa;;;;;;;;;x
temple_baron_female_rhllor;Red Priest;Prêtresse Rouge;Roter Priester;;Sacerdotisa roja;;;;;;;;;x
temple_baron_female_drowned_god;Drowned Lady;Noyée;Ertrunkener Mann;;Señora Ahogada;;;;;;;;;x
temple_baron_female_storm_god;Storm Lady;Tempêteuse;Ertrunkener Mann;;Señora Tormenta;;;;;;;;;x
temple_baron_female_qarth_warlocks;Warlock;Conjuratrice;;;Bruja;;;;;;;;;x
temple_baron_female_ghiscar_rel;Green Grace;Grâce Verte;;;Gracia Verde;;;;;;;;;x
temple_baron_female_shadowbinders;Shadowbinder;Ensorceleuse d'ombres;;;Domadora de Sombras;;;;;;;;;x
temple_baron_female_valyrian;Stormsinger;Enchanteuse de tornades;;;Barda de Tormentas;;;;;;;;;x
temple_baron_female_jogos_pagan;Moonsinger;Chantelune;;;Cantora Lunar;;;;;;;;;x
temple_empire_of;Empire of;Empire de;;;Imperio de;;;;;;;;;x
temple_empire_of_the_seven;Theocracy of;Théocratie de;;;Teocracia de;;;;;;;;;x
temple_empire_of_drowned_god;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
temple_kingdom_of;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
temple_kingdom_of_the_seven;Theocracy of;Théocratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_kingdom_of_rhllor;Patriarchate of;Patriarcat de;Patriarchat von;;Reino de Fuego de;;;;;;;;;x
temple_kingdom_of_drowned_god;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
temple_duchy_of;Theocracy of;Théocratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_duchy_of_the_seven;Arch-Septry of;Archiseptistère de;;;Archisepto de;;;;;;;;;x
temple_county_of;City of;Cité de;;;Ciudad de;;;;;;;;;x
temple_county_of_the_seven;Septry of;Septistère de;Septum von;;Septo de;;;;;;;;;x
temple_barony_of;Temple of;Temple de;Tempel von;;Templo de;;;;;;;;;x
temple_barony_of_the_seven;Sept of;Septistère de;Septum von;;Septo de;;;;;;;;;x
temple_barony_of_old_gods;Godswood of;Bois sacré de;Godswood of;;Bosque de Dioses de;;;;;;;;;x
temple_barony_of_beyond-the-wall_old_gods;Weirwood of;Barral de;Weirwood of;;Bosque de Arcianos de;;;;;;;;;x
temple_barony_of_beyond_wall_old_gods;Weirwood of;Barral de;Weirwood of;;Bosque de Arcianos de;;;;;;;;;x
temple_barony_of_drowned_god;Seahall of;Demeure Liquide de;Meereshalle von;;Palacio del Mar de;;;;;;;;;x
temple_barony_of_storm_god;Stormhall of;Demeure Venteuse de;Meereshalle von;;Palacio Nuboso de;;;;;;;;;x
temple_empire;Empire;Empire;;;Imperio;;;;;;;;;x
temple_empire_the_seven;Theocracy;Théocratie;;;Teocracia;;;;;;;;;x
temple_empire_drowned_god;Kingdom;Royaume;;;Reino;;;;;;;;;x
temple_kingdom;Kingdom;Royaume;;;Reino;;;;;;;;;x
temple_kingdom_the_seven;Theocracy;Théocratie;;;Teocracia;;;;;;;;;x
temple_kingdom_rhllor;Patriarchate of;Patriarcat de;;;Reino de Fuego de;;;;;;;;;x
temple_kingdom_drowned_god;Kingdom;Royaume;;;Reino;;;;;;;;;x
temple_duchy;Theocracy;Théocratie;;;Teocracia;;;;;;;;;x
temple_duchy_the_seven;Arch-Septry;Archiseptistère de;;;Archisepto;;;;;;;;;x
temple_county;City;Cité;;;Ciudad;;;;;;;;;x
temple_county_the_seven;Septry;Septistère;;;Septo;;;;;;;;;x
temple_barony;Temple;Temple;;;Templo;;;;;;;;;x
temple_barony_the_seven;Sept;Septistère;;;Septo;;;;;;;;;x
temple_barony_old_gods;Godswood;Bois sacré;;;Bosque de Dioses;;;;;;;;;x
temple_barony_beyond-the-wall_old_gods;Weirwood;Barral;;;Bosque de Arcianos;;;;;;;;;x
temple_barony_beyond_wall_old_gods;Weirwood;Barral;;;Bosque de Arcianos;;;;;;;;;x
temple_barony_drowned_god;Seahall;Demeure Liquide;;;Palacio del Mar de;;;;;;;;;x
temple_barony_storm_god;Stormhall;Demeure Venteuse;;;Palacio Nuboso de;;;;;;;;;x
d_warriors_sons;The Warrior's Sons;Les Fils du Guerrier;Die Söhne des Kriegers;;Los Hijos del Guerrero;;;;;;;;;x
d_poor_fellows;The Poor Fellows;Les Pauvres Compagnons;;;Los Clérigos Humildes;;;;;;;;;x
