#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
build_alchemist_guild_desc;Fire is the ultimate weapon. House [Root.GetOnlyDynastyName] would benefit greatly from the construction of an Alchemists' Guild in [Root.Capital.GetName], whose pyromancers could make and store wildfire for use in war.;Le feu est l'arme ultime. La Maison [Root.GetOnlyDynastyName] va grandement bénéficier de la construction d'une Guilde des Alchmistes à [Root.Capital.GetName], les pyromants pourraient produire et stocker du feu grégeois pour l'utiliser à la guerre. ;;;El fuego es el arma definitiva. La casa [Root.GetOnlyDynastyName] se beneficiaría enormemente de la construcción de un Gremio de alquimistas en [Root.Capital.GetName], los piromantes podrían producir y almacenar fuego valyrio para su uso en la guerra.;;;;;;;;;x
make_wildfire;Make Wildfire;Produire du feu grégeois;;;Producir fuego valyrio;;;;;;;;;x
make_wildfire_desc;Order the pyromancers of [Root.Capital.GetName] to make more pots of wildfire.;Ordonner aux pyromants de[Root.Capital.GetName] de produire des pots de feu grégeois.;;;Ordenar a los piromantes de [Root.Capital.GetName] hacer más botes de fuego valyrio.;;;;;;;;;x
destroy_wildfire;Dispose of Wildfire;Se débarasser du feu grégeois;;;Eliminar fuego valyrio;;;;;;;;;x
destroy_wildfire_desc;Order the pyromancers of [Root.Capital.GetName] to dispose of the oldest and most unstable pots of wildfire.;Ordonner aux pyromants de[Root.Capital.GetName] de détruire les pots de feu grégeois les plus vieux et les plus instables;;;Ordenar a los piromantes de [Root.Capital.GetName] que eliminen los botes más viejos e inestables de fuego valyrio.;;;;;;;;;x
EVTTOOLTIPwildfire.1;You will gather the greatest pyromancers of [This.PrimaryTitle.GetName]!;Vous allez réunir les plus grands pyromants de [This.PrimaryTitle.GetName] !;;;Vas a reunir a los más grandes piromantes de [This.PrimaryTitle.GetName]!;;;;;;;;;x
EVTDESCwildfire.1;You have brought together many men of great learning, men who know the secrets of fire and blood. You have commissioned them to establish an Alchemists' Guild in [Root.Capital.ProvinceName]. They tell you it will take some time to construct a guildhall where they can safely make and store wildfire.;Vous avez rassemblé beaucoup d'hommes de grand savoir, des hommes qui connaissent les secrets du feu et du sang. Vous les avez chargé d'établir une Guilde des Alchimistes à [Root.Capital.ProvinceName]. Ils vous ont dit que cela prendrait du temps pour construire un hôtel de la Guilde où ils pourront produire et stocker du feu grégeois en toute sécurité.;;;Has reunido a muchos hombres de gran saber, hombres que conocen los secretos del fuego y de la sangre. Les has encargado que establezcan un gremio Alquimistas en [Root.Capital.ProvinceName]. Ellos te dicen que costará cierto tiempo construir una casa gremial en la que puedan producir y almacenar con seguridad fuego valyrio.;;;;;;;;;x
EVTOPTAwildfire.1;Take all the time you need!;Prenez le temps qu'il vous faut !;;;Tómate todo el tiempo que necesites!;;;;;;;;;x
EVTDESCwildfire.2;A number of pyromancers have been constructing a new Alchemists' Guild in one of your outlying provinces for some time now. They offer to move their project to your capital instead.;Depuis un moment maintenant, Un certain nombre de pyromants construisent une nouvelle Guilde des Alchimistes dans une de vos provinces périphériques. Ils vous proposent de transférer leurs activités dans votre capitale.;;;Una serie de piromantes han estado construyendo un nuevo Gremio de Alquimistas en una de tus provincias periféricas desde hace algún tiempo. Proponen trasladar el proyecto a la capital.;;;;;;;;;x
EVTOPTAwildfire.2;I could always use a little wildfire.;Je pourrais toujours utiliser un peu de feu grégeois.;;;Siempre viene bien un poco de fuego valyrio.;;;;;;;;;x
EVTOPTBwildfire.2;There's no place for such sorcery in [Root.Capital.GetName].;Il n'y a pas de place pour une telle sorcellerie à [Root.Capital.GetName].;;;No hay lugar para tal brujería en [Root.Capital.GetName].;;;;;;;;;x
EVTOPTCwildfire.2;I'm afraid [Root.Capital.GetName] already has an Alchemists' Guild.;Je crains que [Root.Capital.GetName] n'ait déjà une Guilde des Alchimistes. ;;;Me temo que [Root.Capital.GetName] ya tiene un Gremio Alquimistas.;;;;;;;;;x
EVTDESCwildfire.3;The Chief Wisdom of the [Root.Capital.GetName] Alchemists' Guild comes before you. 'We have finally completed our new guildhall, [Root.PrimaryTitle.GetFOA],' he says, 'we are ready to begin production of the Substance.';Le Chef des Sagesses de la Guilde des Alchimistes de [Root.Capital.GetName] vient à vous. 'Nous avons finalement achevé notre nouvel hôtel de la Guilde, [Root.PrimaryTitle.GetFOA],' dit-il, 'nous sommes prêt à commencer la production de la Substance.';;;"El Gran Sapiencia del Gremio de Alquimistas de [Root.Capital.GetName] acude ante ti. 'Por fin hemos completado nuestra nueva casa gremial, [Root.PrimaryTitle.GetFOA]', dice,""Estamos listos para comenzar la producción de la 'Sustancia'.'";;;;;;;;;x
EVTOPTAwildfire.3;Finally!;Enfin !;;;¡Por fin!;;;;;;;;;x
EVTTOOLTIPwildfire.4;You will visit the Alchemists' Guild.;Vous allez visiter la Guilde des Alchimistes.;;;Quiero visitar el Gremio de Alquimistas.;;;;;;;;;x
EVTDESCwildfire.4;You pay a visit to the Alchemists' Guild in [Root.Capital.GetName], and order the Chief Wisdom to provide you with more wildfire. 'We always welcome your patronage, [Root.PrimaryTitle.GetFOA],' he says, 'it shall take us some time, but we shall supply you with as much of the Substance as we can.';Vous faites une visite de la Guile des Alchimistes à [Root.Capital.GetName], et ordonnez au Chef des Sagesses de vous fournir plus de feu grégeois. 'Nous apprécions toujours votre patronage, [Root.PrimaryTitle.GetFOA],' dit-il, 'cela nous prendra quelque temps, mais nous vous fournirons autant de Subsatance que nous le pourrons.';;;"Haces una visita al Gremio de Alquimistas en [Root.Capital.GetName], y pides al Sapiencia que te produzca más fuego valyrio. 'Apreciamos vuestro apoyo, [Root.PrimaryTitle.GetFOA]', dice,'nos llevará algún tiempo, pero le daremos la mayor cantidad de 'Sustancia' que podamos. """;;;;;;;;;x
EVTOPTAwildfire.4;Your services are always appreciated.;Vos services sont toujours appréciés.;;;Sus servicios son siempre apreciados.;;;;;;;;;x
EVTTOOLTIPwildfire.5;You will visit the Alchemists' Guild.;Vous allez visiter la Guilde des Alchimistes.;;;Quiero visitar el Gremio de Alquimistas.;;;;;;;;;x
EVTDESCwildfire.5;You pay a visit to the Alchemists' Guild in [Root.Capital.GetName], and order the Chief Wisdom to destroy their excess wildfire. 'Are you sure, [Root.PrimaryTitle.GetFOA]?' he asks, 'The Substance is... er... quite difficult to... uh... dispose of safely, I suppose we COULD, if we were to dedicate ourselves to it, entirely, but it would take many months...';Vous faites une visite de la Guile des Alchimistes à [Root.Capital.GetName], et ordonnez au Chef des Sagesses de détruire leur surplus de feu grégeois. 'En êtes-vous sûr, [Root.PrimaryTitle.GetFOA] ?' demande-t-il, 'La Substance est... euh... assez difificle à... euh... détruire sans risque, je suppose que nous pourrions le faire, si nous devions nous y consacrer entièrement, mais cela prendrait de nombreux mois...';;;"Haces una visita al Gremio de Alquimistas en [Root.Capital.GetName], y pides al Sapiencia que destruya el exceso de fuego valyrio. '¿Está seguro, [Root.PrimaryTitle.GetFOA]?' te pregunta, 'La 'Sustancia' es... er... bastante difícil... uh... de eliminar de forma controlada, supongo que podríamos, si nos dedicáramos a ello en su totalidad, pero tendrían que pasar muchos meses... """;;;;;;;;;x
EVTOPTAwildfire.5;Just do it, pyromancer.;Faites-le juste, pyromants.;;;Sólo hazlo, piromante.;;;;;;;;;x
EVTDESCwildfire.6;The Chief Wisdom of the [Root.Capital.GetName] Alchemists' Guild informs you that they have produced a signicant amount of wildfire, enough to turn the side of a siege or battle.;Le Chef des Sagesses de la Guilde des Alchimistes de [Root.Capital.GetName] vous informe qu'ils ont produits une quantité significative de feu grégegois, assez pour changer le cours d'une bataille ou d'un siège. ;;;El Sapiencia del Gremio de Alquimistas de [Root.Capital.GetName] le informa de que se ha producido una cantidad signicante de fuego valyrio, lo suficiente para darle la vuelta a un asedio o una batalla.;;;;;;;;;x
EVTOPTAwildfire.6;Well done.;Beau travail.;;;Buen trabajo.;;;;;;;;;x
EVTDESCwildfire.7;The Chief Wisdom of the [Root.Capital.GetName] Alchemists' Guild informs you that they have finished disposing of the oldest and most unstable wildfire pots. The current stockpile should be much safer.;Le Chef des Sagesses de la Guilde des Alchimistes de [Root.Capital.GetName] vous informe qu'ils ont fini de se débarasser des pots de feu grégeois les plus vieux et les plus instables. Les réserves actuelles devraient être plus sûres. ;;;El Sapiencia del Gremio de Alquimistas de [Root.Capital.GetName] le informa de que han terminado de eliminar los botes de fuego valyrio más antiguos e inestables. La reserva actual debe ser mucho más segura.;;;;;;;;;x
EVTOPTAwildfire.7;Well done.;Beau travail.;;;Buen trabajo.;;;;;;;;;x
EVTDESCwildfire.9;With the siege raging outside the walls, you meet with the Chief Wisdom of the [Root.Location.GetName] Alchemists' Guild. 'We already have several pots prepared,' he assures you, 'you need merely give the word, and we will see to it that your enemies are destroyed.';Alors que le siège fait rage devant nos murs, vous rencontrez le Chef des Sagesses de la Guilde des Alchimistes de [Root.Location.GetName]. 'Nous avons déjà préparé plusieurs pots', vous assure-t-il, 'donnez-nous en l'ordre et nous déchaînerons les sept enfers sur vos ennemis'.;;;"Con el el asedio fuera de las murallas, te reúnes con el Sapiencia del Gremio de Alquimistas de [Root.Location.GetName]. ""Ya tenemos varios botes preparados,"" te asegura, ""dadnos la orden, y los enviaremos a los Siete Infiernos. '";;;;;;;;;x
EVTOPTAwildfire.9;Burn them all.;Brûlez-les tous.;;;Quemadlos a todos.;;;;;;;;;x
EVTOPTBwildfire.9;On second thought, I'm not at all sure this is a good idea...;A la réflexion, je ne suis pas sûr qu'il s'agisse d'une bonne idée…;;;Pensándolo bien, no estoy del todo seguro de que esto sea una buena idea …;;;;;;;;;x
EVTTOOLTIPwildfire.10;You unleash the wildfire on the besieging troops.;Vous lâchez le feu grégeois sur les troupes des assiégeants.;;;Ordenas liberar fuego valyrio sobre las tropas asediantes.;;;;;;;;;x
EVTDESCwildfire.10;Night falls, and the pyromancers load your catapults with wildfire. At your signal, it is unleashed. Green fire lights up the night, and the screams of the dying echo up to your ears. You watch a man dive desperately into the water, only to discover to his horror that the flame burns still.;La nuit tombe, et les pyromants chargent vos catapultes avec du feu grégeois. A votre signal, les engins projettent le terrible fléau. Le feu vert éclaire la nuit, et les cris des hommes brûlant vifs arrivent jusqu'à vous. Vous observez un homme se jetant désespérément dans l'eau, pour découvrir avec horreur que les flammes continuent de brûler. ;;;Cae la noche, y los piromantes cargan las catapultas con fuego valyrio. A tu señal, se disparan. El fuego verde ilumina la noche, y el eco de los gritos de los hombres ardiendo vivos llegan hasta tus oídos. Observas a un hombre sumergirse desesperadamente en el agua, sólo para descubrir con horror que las llamas siguen ardiendo.;;;;;;;;;x
EVTOPTAwildfire.10;...by [Root.Religion.GetRandomGodName], what have I done?;…par [Root.Religion.GetRandomGodName], qu'ai-je fais ?;;;...por [Root.Religion.GetRandomGodName], ¿qué he hecho?;;;;;;;;;x
EVTOPTBwildfire.10;Burn! BURN!;Brûlez ! BRÛLEZ !;;;Arded! ARDED!;;;;;;;;;x
EVTOPTCwildfire.10;Such are the fortunes of war.;Telles sont les horreurs de la guerre.;;;Son los horrores de la guerra...;;;;;;;;;x
EVTTOOLTIPwildfire.11;'s troops are devastated.;voit ses troupes décimées;;;Ves tus tropas diezmadas;;;;;;;;;x
EVTDESCwildfire.11;You are in your tent when the horn blows a warning. Stepping out into the night, you are horrified to see bright green lights leaping toward your men from the castle walls. The wildfire hits the ground, and suddenly the army is consumed in green fire.;Vous êtes dans votre tente lorsqu'un cor lance un signal d'alerte. En sortant dans la nuit, vous êtes horrifié de découvrir des flammes vertes tomber sur vos hommes depuis les murs du château. Le feu grégeois touche le sol et soudainement votre armée est consumée par le feu vert.;;;Estás en tu tienda de campaña cuando un cuerno sopla una señal de advertencia. Al salir en la noche, te horrorizas al ver luces verdes brillantes caer sobre tus desde las murallas del castillo. El fuego valyrio golpea el suelo, y de repente tu ejército se consume en el fuego verde.;;;;;;;;;x
EVTOPTAwildfire.11;Fall back! FALL BACK!;Repliez-vous ! REPLIEZ-VOUS !;;;Replegaos! REPLEGAOS!;;;;;;;;;x
EVTTOOLTIPwildfire.12;will hear of your decision.;va entendre parler de votre décision.;;;escucharán tu decisión.;;;;;;;;;x
EVTDESCwildfire.12;You receive a raven from [Root.Capital.GetName] informing you that [From.GetBestName] used part of your wildfire stockpile in defense against the siege.;Vous recevez un corbeau de [Root.Capital.GetName] vous informant que [From.GetBestName] a utilisé une partie de vos réserves en feu grégeois pour briser le siège. ;;;Recibes un cuervo de [Root.Capital.GetName] informándote que [From.GetBestName] ha utilizado una parte de las reservas de fuego valyrio para romper el asedio.;;;;;;;;;x
EVTOPTAwildfire.12;Fool! [From.GetSheHeCap] could have burned down half the province!;L'imbécile ! [From.GetSheHeCap] aurait pu enflammer la moitié de la province ! ;;;¡Necio! [From.GetSheHeCap] podría haber quemado la mitad de la provincia!;;;;;;;;;x
EVTOPTBwildfire.12;[From.GetSheHeCap] is to be commended for [From.GetHerHim] good judgment.;[From.GetSheHeCap] mérite une récompense pour sa bonne décision. ;;;[From.GetSheHeCap] merece una recompensa por su buena decisión.;;;;;;;;;x
EVTTOOLTIPwildfire.13;is caught in the flames!;est attaqué par les flammes !;;;está atrapado en las llamas!;;;;;;;;;x
EVTDESCwildfire.13;WILDFIRE! someone had called, the only warning you ever got. The catapults atop the walls rain down green fire. Your horse catches alight and bucks you to the ground. You try to push yourself to your feet and realize to your horror that your arm is on fire. You throw yourself to the ground and roll back and forth, desperately trying to put out the flames.;FEU GREGEOIS !', c'est tout ce que vous avez pu entendre. Les catapultes placées sur le murs font pleuvoir le feu vert. Votre cheval est touché par une flamme et vous projette à terre. Vous essayez de vous relever et vous vous rendez compte avec horreur que votre bras est en feu. Vous vous jetez à terre et vous roulez dans tous les sens, essayant désespérément d'éteindre les flammes.;;;Fuego valyrio! gritó alguien, la única advertencia que pudiste oir. Las catapultas situadas en los muros hacen llover fuego verde. Tu caballo cae incendiado al suelo y tu caes también, tratas de levantarte pero te das cuenta con horror que tu brazo está en llamas. Intentas rodar hacia atrás y adelante, tratando desesperadamente de apagar las llamas.;;;;;;;;;x
EVTOPTAwildfire.13;Put it out! Put it out!;Eteignez-les ! Eteignez-les !;;;Apagadlo! Apagadlo!;;;;;;;;;x
EVTDESCwildfire.14;You meet with one of your pyromancers in your tent and ask him if he can use wildfire against the walls of [Root.Location.GetName]. 'Of course,' he says, 'the Substance is entirely capable of melting stone. However, it will be difficult and dangerous to transport it safely from [Root.Capital.GetName]. It may take as long as a month...';Vous convoquez dans votre tente l'un de vos pyromants et lui demandez s'il peut utiliser le feu grégeois contre les murs de [Root.Location.GetName]. 'Bien sûr,' dit-il, 'la Substance est entièrement capable de faire fondre la pierre. Cependant, il sera difficile et dangereux de la transporter sans risque depuis [Root.Capital.GetName]. Cela peut prendre jusqu'à un mois...';;;"Te reúnes con uno de tus piromantes en tu tienda y le preguntas si puedes usar el fuego valyrio contra los muros de [Root.Location.GetName]. ""Por supuesto"", dice, ""la 'Sustancia' es capaz de fundir la piedra. Sin embargo, será difícil y peligroso transportarla de forma segura desde [Root.Capital.GetName]. Se podría llegar a tardar hasta un mes...""";;;;;;;;;x
EVTOPTAwildfire.14;Take as long as you need.;Prenez autant de temps que nécessaire. ;;;Tómate todo el tiempo que necesites.;;;;;;;;;x
EVTOPTBwildfire.14;Surely you could speed up a little?;Vous pouvez sûrement accélérer un peu, n'est-ce pas ?;;;Podrías acelerarlo un poco?;;;;;;;;;x
EVTOPTCwildfire.14;You'll have it here within the week and no later.;Le feu grégeois sera ici dans la semaine et pas plus tard. ;;;Lo tendrás aquí en una semana, no más tarde.;;;;;;;;;x
EVTOPTDwildfire.14;We've no need of wildfire.;Nous n'avons pas besoin de feu grégeois.;;;No necesitamos fuego valyrio.;;;;;;;;;x
EVTDESCwildfire.15;With the siege over, you no longer have any need of wildfire.;Avec la fin du siège, vous n'avez plus besoin de feu grégeois.;;;Con el asedio terminado, ya no necesitas el fuego valyrio.;;;;;;;;;x
EVTOPTAwildfire.15;Time to send the pyromancers home.;Il est temps de renvoyer les pyromants dans leur Guilde. ;;;Es el momento de enviar a los piromantes a su hogar.;;;;;;;;;x
EVTDESCwildfire.16;You're awakened in the middle of the night by one of your soldiers, his face disfigured with terrible burns. 'We tried to move fast like you wanted, [Root.PrimaryTitle.GetFOA], honest, we did! But the cart caught on something and the wildfire set off and now everyone's DEAD!';Vous êtes réveillé au beau milieu de la nuit par l'un de vos soldats, son visage est défiguré par des brûlures épouvantables. 'Nous avons essayé de nous déplacer rapidement comme vous l'aviez demandé, [Root.PrimaryTitle.GetFOA], je vous le promet, nous avons essayé. Mais le chariot a pris un choc et il y a eu une fuite de feu grégeois et maintenant tout le monde est MORT !';;;Te despiertas en medio de la noche por uno de tus soldados, con el rostro desfigurado con terribles quemaduras. 'Tratamos de avanzar rápidamente como vos quería, [Root.PrimaryTitle.GetFOA], se lo prometo, lo intentamos! Pero el carro quedó atrapado en algo y tuvimos una fuga de fuego valyrio y ahora están todos MUERTOS! ';;;;;;;;;x
EVTOPTAwildfire.16;...how many did we lose?;… combien en avons-nous perdu ?;;;...cuántos perdimos?;;;;;;;;;x
EVTDESCwildfire.17;The cart of wildfire rolls into your camp at midnight, and the catapults fire not long after. Green fire lights up the night. Stone cracks and warps in the heat. You can hear the screams, even from this far off.;Le chariot transportant le feu grégeois arrive dans votre camp à la mi-nuit et vous faites tirer les catapultes peu de temps après. Le feu vert illumine la nuit. Les pierres craquent et se déforment sous l'effet de la chaleur. Vous pouvez entendre les cris, même d'aussi loin. ;;;El carro que llevaba el fuego valyrio llegó al campamento en mitad de la noche y lanzamos las catapultas poco después. La luz verde ilumina la noche. Las piedras se agrietan y deforman por el efecto del calor. Puedes oír los gritos, incluso desde tan lejos.;;;;;;;;;x
EVTOPTAwildfire.17;...by [Root.Religion.GetRandomGodName], what have I done?;…par [Root.Religion.GetRandomGodName], qu'ai-je fais ?;;;... por [Root.Religion.GetRandomGodName], ¿qué he hecho?;;;;;;;;;x
EVTOPTBwildfire.17;Burn! BURN!;Brûlez ! BRULEZ !;;;Arded! ARDED!;;;;;;;;;x
EVTOPTCwildfire.17;Such are the fortunes of war.;Telles sont les horreurs de la guerre.;;;Son los horrores de la guerra...;;;;;;;;;x
EVTTOOLTIPwildfire.18;'s defenses are devastated.;voit ses défenses détruites. ;;;Ves tus defensas destruidas.;;;;;;;;;x
EVTDESCwildfire.18;You are meeting with the garrison commander when the first pot lands, a burst of deadly green flame rapidly consuming one of the towers. You watch in horror as wildfire rains down from the sky, and [Root.Location.GetName] burns.;Vous recevez le commandant de la garnison lorsque le premier pot s'écrase. Une explosion de flammes vertes mortelles consume rapidement l'une des tours. Vous contemplez avec horreur le feu grégeois tomber du ciel et brûler [Root.Location.GetName].;;;Estabas reunido con el comandante de la guarnición cuando los primeros botes cayeron, un estallido de una mortal llama verde consume rápidamente una de las torres. Miras con horror como la lluvia de fuego valyrio cae desde el cielo y lo quema todo a su paso.;;;;;;;;;x
EVTOPTAwildfire.18;Try to cut it off! Keep it out of the granary at all costs!;Essayez de l'éteindre ! Empêchez-le à tous prix d'atteindre la grange !;;;Tratad de apagarlo! Mantenedlo fuera del alcance del granero a toda costa!;;;;;;;;;x
EVTOPTBwildfire.18;It's... it's spreading towards the Alchemists' Guildhall...;Il… il se propage en direction de l'hôtel de la Guilde des Alchimistes…;;;Pues… se está extendiendo hacia el edificio del Gremio de los Alquimistas...;;;;;;;;;x
EVTTOOLTIPwildfire.19;is caught in the flames!;est atteint par les flammes !;;;está atrapado en las llamas!;;;;;;;;;x
EVTDESCwildfire.19;Green fire rains from the sky and you search desperately for shelter. You try to take cover in one of the old towers along the wall, but the stone cracks from the heat and a burning beam falls toward you.;Le feu vert tombe du ciel tandis que vous cherchez désespérément un abri. Vous essayez de vous réfugier dans l'une des vieilles tours de la muraille, mais la pierre se fend sous l'effet de la chaleur et une poutre enflammée s'écrase sur vous.;;;El fuego verde cae del cielo mientras buscas desesperadamente un refugio. Intentas refugiarte en una de las antiguas torres de la muralla, pero la piedra se funde por el calor y una viga ardiendo te cae encima.;;;;;;;;;x
EVTOPTAwildfire.19;Aaaah!;Aaaah !;;;Aaaah!;;;;;;;;;x
EVTDESC5552926;All it took was one lucky pot of wildfire to breach the Guildhall, and suddenly your own stockpile went up as well. The explosion was enormous, and now the fire is EVERYWHERE.;Il n'aura fallu qu'un unique pot chanceux pour éventrer l'hôtel de la Guilde, et vos propres réserves de feu grégeois se sont embrasées à leur tour. L'explosion fut gigantesque et maintenant le feu est PARTOUT.;;;Sólo hacía falta un bote de fuego valyrio para destruir el Gremio de Alquimistas, y de repente tu propio arsenal sucumbió también. La explosión fue enorme, y ahora el fuego está en todas partes.;;;;;;;;;x
EVTOPTA5552926;Forget the damn siege! Run! Run for your lives!;Oubliez ce maudit siège ! Courez ! Courez pour vos vies !;;;Olvidad el maldito asedio! ¡Corred! Corred por vuestras vidas!;;;;;;;;;x
EVTTOOLTIP5552927;s own troops are caught in the explosion.;voit ses troupes soufflées par l'explosion.;;;Tus propias tropas se encuentran atrapadas en la explosión.;;;;;;;;;x
EVTDESC5552927;You're just beginning to celebrate your impending victory when you hear one explosion worryingly louder than the others. To your horror, you realize that your catapults have hit the [Root.Location.GetName] Alchemists' Guild, and set off your enemy's own wildfire stockpile. Green fire rushes outward, threatening to consume your ownt troops as well as the enemy's.;Vous vous préparez à célébrer votre victoire écrasante lorsque vous entendez une explosion plus forte que les autres. Horrifié, vous réalisez que vos catapultes ont atteints la Guilde des Alchimistes de [Root.Location.GetName] et mis le feu aux réserves de grégeois de vos ennemis. D'immenses flammes vertes se propagent à l'extérieur des murs, menaçant de consumer vos troupes aussi bien que celle de l'ennemi.;;;Estás empezando a celebrar tu inminente victoria cuando escuchas una explosión más alta que las demás. Horrorizado, te das cuenta de que tus catapultas han golpeado el Gremio de Alquimistas de [Root.Location.GetName], y han prendido fuego las reservas de fuego valyrio de tu enemigo. Llamas verdes se propagan hacia afuera, amenazando con consumir tus propias tropas así como las del enemigo.;;;;;;;;;x
EVTOPTA5552927;Forget the damn siege! Run! Run for your lives!;Oubliez ce maudit siège ! Courez ! Courez pour vos vies !;;;Olvidad el maldito asedio! ¡Corred! Corred por vuestras vidas!;;;;;;;;;x
EVTTOOLTIP5552928;will hear of this disaster.;va entendre parler de ce désastre.;;;oirán acerca de este desastre.;;;;;;;;;x
EVTDESC5552928;All it took was a single spark. The wildfire stockpile in [From.Capital.GetName] has been ignited, and now fire rages beyond all possible human control throughout the province.;Tout a commencé avec une simple étincelle… La réserve de feu grégeois de [From.Capital.GetName] s'est enflammée, et maintenant le feu se propage dans la province, incontrôlable. ;;;Sólo hacía falta una chispa. La reserva de fuego valyrio en [From.Capital.GetName] ha prendido, y ahora el fuego ruge incontrolable en toda la provincia.;;;;;;;;;x
