#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTDESC20612;My liege,\nArmed thugs attacked me while investigating the rumor of a plot in [From.Location.GetName]! I barely escaped with my life and am now severely wounded.\n\nYour humble Castellan,\n[From.GetTitledName];Mon Seigneur,\nDes bandits m'ont attaqué alors que j'enquêtais sur des rumeurs de complot à [From.Location.GetName] ! Je n’en ai réchappé que de justesse et souffre d'une sévère blessure.\n\nVotre humble châtelain,\n[From.GetTitledName];;;Mi Señor,\nUnos hombres armados me atacaron mientras investigaba un rumor de un complot en [From.Location.GetName]. He podido escapar por los pelos pero estoy gravemente herido.\n\nVuestro humilde Castellano,\n[From.GetTitledName];;;;;;;;;x
EVTDESC20613;[Root.GetTitledName], your Castellan [From.GetTitledName] was killed by armed thugs when investigating a rumor about a plot in [From.Location.GetName];[Root.GetTitledName], votre châtelain [From.GetTitledName] a été tué par des bandits alors qu'il enquêtait sur des rumeurs de complot à [From.Location.GetName];;;[Root.GetTitledName], tu Castellano [From.GetTitledName] ha sido asesinado por unos hombres armandos mientras investigaba un rumor de un complot en [From.Location.GetName];;;;;;;;;x
EVTDESC20501;My liege, my mission to [From.Location.GetName] has so far been a success! During my visit to the court of [From.GetBestName], I seem to have managed to make [From.GetHerHim] understand what a benevolent and peaceful ruler you really are and [From.GetSheHe] sends [From.GetHerHis] regards.\n\nYour humble Castellan,\n[Root.job_castellan.GetTitledFirstName];Mon Seigneur, ma mission à [From.Location.GetName] est un véritable succès ! Durant ma visite à la cour de [From.GetBestName], il semble que je sois parvenu à lui faire comprendre quel bienveillant et pacifique souverain vous êtes en réalité, et [From.GetSheHe] vous envoie ses respects.\n\nVotre humble châtelain,\n[Root.job_castellan.GetTitledFirstName];;;Mi Señor, mi misión en [From.Location.GetName] ha tenido éxito. Durante la visita a la corte de [From.GetBestName], he conseguido que comprenda lo maravilloso y benevolente que sois gobernando y [From.GetSheHe] os envía sus respetos.\n\nVuestro humilde Castellano,\n[Root.job_castellan.GetTitledFirstName];;;;;;;;;x
EVTDESC20511;My liege, during my visit to the court of [From.GetBestName], I tried to make [From.GetHerHim] realize what a benevolent and peaceful ruler you really are, but sinister forces at [From.GetHerHis] court were hard at work to discredit my every move and distort my every word. I am afraid that in the end the visit seems to have done more harm than good.\n\nYour humble Master of Laws,\n[Root.job_castellan.GetTitledFirstName];Mon Seigneur, durant ma visite à la cour de [From.GetBestName], j'ai tenté de lui faire réaliser à quel point vous étiez réellement un souverain bienveillant et pacifique, mais des partis malveillants à sa cour se sont donnés bien du mal pour discréditer chacune de mes actions et déformer chacun de mes propos. J'ai bien peur d'avoir fait plus de mal que de bien durant cette visite.\n\nVotre humble châtelain,\n[Root.job_castellan.GetTitledFirstName];;;Mi Señor, durante la visita a la corte de [From.GetBestName], intenté convencerlo de lo benevolente que sois, pero siniestras fuerzas de su corte han distorsionado mis palabras. Mucho me temo que he hecho más mal que bien.\n\nVuestro humilde Castellano,\n[Root.job_castellan.GetTitledFirstName];;;;;;;;;x
EVTDESC20131;My liege, my work in [FromFrom.Location.GetName] seem to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.County.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to press it or not.\n\nYours Humbly,\n[FromFrom.GetTitledName];Mon Seigneur, mon travail à [FromFrom.Location.GetName] semble avoir porté ses fruits. En soudoyant, cajolant, extorquant, menaçant et contrefaisant certains documents, je suis parvenu à fabriquer des revendications sur le [FromFrom.Location.County.GetFullName] présentement détenu par [From.GetTitledName]. Je laisse à Votre Seigneurie le choix de les pousser plus en avant ou non.\n\nVotre humble châtelain,\n[FromFrom.GetTitledName];;;Mi Señor, mi trabajo en [From.Location.GetName] parece haber dado sus frutos. Sobornando, extorsionando y falsificando documentos, he conseguido crear una reclamación válida al título de [FromFrom.Location.County.GetFullName] que ostenta [From.GetTitledName]. Dejo en vuestras manos si queréis reivindicarlo.\n\nVuestro humilde Castellano,\n[FromFrom.GetTitledName];;;;;;;;;x
EVTDESC20133;My liege, my work in [FromFrom.Location.GetName] seem to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.Duchy.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to press it or not.\n\nYours Humbly,\n[FromFrom.GetTitledName];Mon Seigneur, mon travail à [From.Location.GetName] semble avoir porté ses fruits. En soudoyant, cajolant, extorquant, menaçant et contrefaisant certains documents, je suis parvenu à fabriquer des revendications sur le [FromFrom.Location.County.GetFullName] présentement détenu par [From.GetTitledName]. Je laisse à Votre Seigneurie le choix de les pousser plus avant ou non.\n\nVotre humble châtelain,\n[FromFrom.GetTitledName];;;Mi Señor, mi trabajo en [From.Location.GetName] parece haber dado sus frutos. Sobornando, extorsionando y falsificando documentos, he conseguido crear una reclamación válida al título de [FromFrom.Location.Duchy.GetFullName] que ostenta [From.GetTitledName]. Dejo en vuestras manos si queréis reivindicarlo.\n\nVuestro humilde Castellano,\n[FromFrom.GetTitledName];;;;;;;;;x
CB_NAME_DEJUREKINGCLAIM;Royal Claim on [Title.GetName];Revendication royale sur [Title.GetName];;;Reclamación Real al título de [Title.GetName];;;;;;;;;x
dejure_kingdom_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;Le §Y$TITLE$§! est, de jure, un vassal de §Y$CLAIMANT$'s§!, ce qui est une raison valable pour déclencher la guerre.;;;El título de §Y$TITLE$§! es vasallo de iure del de §Y$CLAIMANT$§!, lo que es causa suficiente para declarar la guerra.;;;;;;;;;x
EVTDESC999900070;Targaryen flags set;Set de drapeaux targaryens;;;Conjunto de banderas Targaryen;;;;;;;;;x
EVTDESC999900071;The Valyrian Freehold's politics was dominated by forty families of great wealth, high birth, and strong sorcerous ability, known as Dragonlords. They spoke the High Valyrian language and had great skill in shaping stone. Incest and polygamy was a common practice among the blood of Old Valyria.;Suis-je Haut Valyrien ?;;;La política del Feudo Franco de Valyria estaba dominada por cuarenta familias de gran riqueza, alta cuna y fuerte capacidad de hechicería, conocido como los Señores Dragones. Hablaban alto valyrio y tenían grandes habilidades en mampostería y esculturas de toca. El incesto y la poligamia era una práctica común entre la sangre de la Antigua Valyria.;;;;;;;;;x
EVTOPTA999900071;Blood Tells...;Le sang parle…;;;La sangre cuenta...;;;;;;;;;x
EVTOPTB999900071;I am the blood of Old Valyria!;Je suis le sang de l'Antique Valyria !;;;Soy la sangre de la Antigua Valyria!;;;;;;;;;x
EVTDESC999900072;Madness and greatness are two sides of the same coin and every time a new Targaryen is born, the gods toss the coin in the air and the world holds its breath to see how it lands.;Démence et grandeur sont les deux faces d'une même pièce. Chaque fois que naît un nouveau Targaryen, les dieux lancent la pièce en l'air, et le monde retient son souffle en se demandant sur quel côté elle va bien pouvoir tomber. ;;;Locura y grandeza son dos caras de la misma moneda y cada vez que un Targaryen nace, los dioses lanzan la moneda al aire y el mundo aguanta la respiración para ver de qué lado caerá;;;;;;;;;x
EVTOPTA999900072;The Coin is tossed...;La pièce est lancée…;;;La moneda ha sido lanzada...;;;;;;;;;x
EVTOPTA999900073;This child seems mad;Cet enfant semble fou.;;;Este niño parece loco;;;;;;;;;x
EVTOPTA999900074;This child could be great;Cet enfant pourrait être exceptionnel.;;;Este niño podría ser excepcional;;;;;;;;;x
EVTDESC999900076;Over the centuries, the Targaryens have continued the Valyrian tradition of wedding brother to sister, cousin to cousin, and uncle to niece, so as to keep our high bloodlines pure. If we continued this surely the blood of the dragon will remain strong?;Au cours des siècles, les Targaryens ont perpétué la tradition valyrienne qui veut que le frère épouse la soeur, le cousin la cousine et l'oncle la nièce, tout cela pour conserver notre sang pur. Si nous continuons ainsi le sang du dragon redeviendra fort. ;;;Durante siglos, la casa Targaryen ha mantenido la tradición de Valyria de casarse entre hermanos, primos y tíos para mantener pura la sangre. ¿Mantener esta costumbre mantendrá también fuerte la Sangre del Dragón?;;;;;;;;;x
EVTOPTA999900076;I am the blood of Old Valyria!;Je suis le sang de l'Antique Valyria !;;;Soy la sangre de la Antigua Valyria!;;;;;;;;;x
EVTOPTB999900076;That is an outdated practice.;C'est une pratique d'un autre âge.;;;Es una práctica obsoleta;;;;;;;;;x
EVTDESCroberts_rebellion.1;Welcome message to go here;Accueillez le message pour aller là.;;;Mensaje de bienvenida al llegar;;;;;;;;;x
EVTOPTAroberts_rebellion.1;Whenever you play the game of thrones, you either win or die.;Lorsqu'on s'amuse au Jeu des Trônes, il faut vaincre ou périr. ;;;Cuando se juega al juego de tronos sólo se puede ganar o morir. No hay puntos intermedios.;;;;;;;;;x
EVTDESCroberts_rebellion.3;Lyanna Stark is currently in my care and is residing in the Tower of Joy.;Lyanna Stark est actuellement à mes soins et réside à la Tour de la joie. ;;;Lyanna Stark está a mi cargo en la Torre de la Alegría;;;;;;;;;x
EVTOPTAroberts_rebellion.3;She is my Queen of Love and Beauty;Elle est ma reine d'amour et de beauté;;;Ella es mi Reina del Amor y la Belleza;;;;;;;;;x
EVTDESChigh_valyrian.100;Browsing through my library I noticed a dusty old tome. On closer inspection it appears to be a collection of stories and legends from Old Valyria, perhaps I should read it?;En fouillant dans ma bibliothèque, je suis tombé sur un vieux tome poussiéreux. Après une inspection plus minutieuse, il semble qu'il s'agisse d'une collection d'histoires et de légendes de l'Antique Valyria, peut-être devrais-je le lire ? ;;;Examinando mi biblioteca he descubierto un antiguo y polvoriento tomo. Tras una primera inspección parece ser una colección de historias y leyendas de la Antigua Valyria, quizás debería leerlo.;;;;;;;;;x
EVTOPTAhigh_valyrian.100;How interesting!;Comme c'est intéressant !;;;Qué interesante!;;;;;;;;;x
EVTOPTBhigh_valyrian.100;I have no time for books.;Je n'ai pas de temps à consacrer aux livres;;;No tengo tiempo para dedicarme a los libros;;;;;;;;;x
reading_valyrian_books;Reading Valyrian Legends.;Lire les légendes de Valyria;;;Leyendo Leyendas de Valyria;;;;;;;;;x
EVTDESCfire_obsessed.1;This book has the most intriguing tales of dragons and fire. It claims the old wizards of Valyria did not cut and chisel stone, but worked it with fire and magic as one might work clay. As the blood of Old Valyria, do I have dominion over fire?;Ce livre contient les contes les plus intrigants qui soient sur les dragons et le feu. Il raconte que les anciens sorciers de Valyria ne découpaient ni ne ciselaient la pierre, mais la travaillaient avec la magie et le feu tout comme on le fait avec l'argile. En tant qu'héritier du sang de l'Antique Valyria, ai-je un tel pouvoir sur le feu ? ;;;Este libro contiene las historias más apasionantes de dragones y fuego. Afirma que los antiguos hechiceros de Valyria no cortaban ni cincelaban la roca, sino que la trabajaban con fuego y magia como si fuera arcilla. ¿Cómo sangre que soy de la Antigua Valyria acaso podría dominar yo el fuego?;;;;;;;;;x
EVTOPTAfire_obsessed.1;Send for an Alchemist, he will know.;Envoyer quérir un alchimiste, lui le saura;;;Buscar a un alquimista, él lo debería saber;;;;;;;;;x
EVTOPTBfire_obsessed.1;No mortal commands fire.;Aucun mortel ne peut contrôler le feu;;;Ningún mortal puede controlar el fuego.;;;;;;;;;x
pyromancer;Pyromancer;Pyromancien;;;Piromante;;;;;;;;;x
EVTDESCfire_obsessed.2;This alchemist is very skilled at the art of controlling fire and says that as Blood of the Dragon I have such skills as well. My enemies will know my dominion over fire...;Ces alchimistes semblent très compétents dans le contrôle du feu et apparement, en tant que sang du dragon, il dit que j’ai moi-même un don semblable. Mes ennemis vont connaître mon pouvoir sur le feu... ;;;Los alquimistas parecen controlar el fuego y afirman que la Sangre del Dragón también debería poder hacerlo con mucha más razón. Mis enemigos conocerán el poder del fuego.;;;;;;;;;x
EVTOPTAfire_obsessed.2;Fire is my subject.;Le feu est mon sujet;;;El fuego es lo mío;;;;;;;;;x
opinion_pyromancer;Fellow pyromancer;Apprenti pyromancien;;;Seguidor piromante;;;;;;;;;x
fire_obsessed;Fire Obsessed;Obsédé par le feu;;;Obsesionado con el fuego;;;;;;;;;x
fire_obsessed_desc;This character is captivated with the power of fire.;Ce personnage est captivé par le pouvoir des flammes;;;Este personaje está cautivado con el poder del fuego;;;;;;;;;x
EVTDESCfire_obsessed.3;[FromFrom.GetTitledName] has been sentenced to death, and you have commanded [FromFrom.GetSheHe] be burned alive as a warning to your enemies. [FromFrom.GetSheHeCap] is tied to a stake and a fire lit beneath [FromFrom.GetHerHim], [FromFrom.GetHerHis] screams went on for many minutes until [FromFrom.GetSheHe] finally died.;Comme [From.GetTitledName] a été condamné(e) à mort, peut-être pourrais-je l’envoyer au bûcher en guise d’avertissement à mes ennemis ? ;;;Ya que [From.GetTitledName] ha sido condenado a muerte, ¿quizás podría hacerle arder como advertencia a mi enemigos?;;;;;;;;;x
EVTOPTAfire_obsessed.3;Burn [FromFrom.GetHerHim]!;Au bûcher !;;;Prenderle fuego!;;;;;;;;;x
EVTOPTBfire_obsessed.3;I shall be merciful.;Je serai miséricordieux;;;Debo ser magnánimo.;;;;;;;;;x
EVTDESCfire_obsessed.4;The cruel [From.GetTitledName] has put my [GetFromFromFromRelation] [FromFromFrom.GetFirstName] to death by burning [FromFromFrom.GetHerHim] alive!;Le cruel [From.GetTitledName] a mis mon(a) [GetFromFromRelation] [FromFrom.GetFirstName] à mort en le(a) brûlant vif(ve) !;;;El cruel [From.GetTitledName] ha condenado a [GetFromFromRelation] [FromFrom.GetFirstName] a arder en la hoguera hasta la muerte!;;;;;;;;;x
EVTOPTAfire_obsessed.4;That bastard!;Le chien !;;;Maldito bastardo!;;;;;;;;;x
opinion_burned_closed_relative;Burned Close Relative;Parent proche brûlé vif;;;Familiar quemado vivo;;;;;;;;;x
EVTDESChigh_valyrian.101;This book recounts the most fascinating legends of dragons. They were discovered some five thousand years ago by the Valyrians in the Fourteen Fires. The Valyrians mastered the art of raising dragons, using them as weapons of war to carve out their empire. Millennia later, the Targaryens used the last dragons to conquer the Seven Kingdom, but now they are gone...;Ce livre raconte les plus fascinantes légendes qui soient sur les dragons. Ils furent découverts il y a près de cinq mille ans dans les Quatorze Flammes par les Valyriens, qui apprirent l'art d'élever les dragons et de les utiliser au combat pour fonder leur empire. Les Targaryens ont utilisé des dragons pour conquérir les Sept Couronnes, mais ils ont à présent disparu...;;;Este libro contiene las más fascinantes historias de dragones jamás contadas. Cuenta que fueron descubiertos hace más de cinco mil años por la gente de las Catorce Llamas en la Antigua Valyria quienes dominaron el arte de criar dragones y usarlos como armas para fundar su imperio. Los Targaryen usaron sus dragones para conquistar los Siete Reinos, pero ahora ya no quedan dragones...;;;;;;;;;x
EVTOPTAhigh_valyrian.101;I want a dragon!;Je veux un dragon !;;;Quiero un dragón!;;;;;;;;;x
EVTOPTBhigh_valyrian.101;The dragon lives on through House Targaryen.;Les dragons survivent à travers la Maison Targaryen;;;Los dragones viven a través de la casa Targaryen;;;;;;;;;x
EVTOPTChigh_valyrian.101;The dragons are dead.;Les dragons sont morts;;;Los dragones hace tiempo que murieron;;;;;;;;;x
EVTDESChigh_valyrian.102;These legends of dragons and the tale of our houses dominion over them, fills me with a sense of pride and history. How shall I honor the Dragon and House Targaryen?;Toutes ces légendes sur les dragons et comment nous les contrôlions me remplissent de fierté pour l’histoire de ma Maison. Comment puis-je honorer le dragon et la Maison Targaryen ? ;;;Estas leyendas de dragones y de como nuestra casa los controlaba me llenan de orgullo por la historia de mi casa. ¿Cómo podría honrar la relación entre el dragón y la Casa Targaryen?;;;;;;;;;x
EVTOPTAhigh_valyrian.102;An epic dragon statue;En faisant ériger une gigantesque statue de dragon;;;Erigiendo una enorme estatua de dragón;;;;;;;;;x
EVTOPTBhigh_valyrian.102;A tournament;En organisant un tournoi;;;Organizando un torneo;;;;;;;;;x
EVTOPTChigh_valyrian.102;A chronicle;En faisant rédiger une chronique;;;Escribiendo unas crónicas;;;;;;;;;x
EVTDESChigh_valyrian.103;My statue honoring the Dragon and my ancestors is finally complete. All the Kingdoms marvel at this creation.;Ma statue honorant le dragon et mes ancêtres est finalement achevée, les Sept Couronnes s'émerveillent devant cette réalisation.;;;La gran estatua que honra al Dragón y a mis ancestros ha sido completada. Los Siete Reinos se maravillan por mi creación.;;;;;;;;;x
EVTOPTAhigh_valyrian.103;I am the blood of the Dragon;Je suis le sang du dragon;;;Soy la sangre del Dragón;;;;;;;;;x
DRAGONTOURNAMENTTITLE;Tournament of the Dragon;Tournoi du dragon;;;Torneo del Dragón;;;;;;;;;x
EVTDESChigh_valyrian.104;The invitations to your special tourney have gone out. All worthy knights and lords of [TopLiege.PrimaryTitle.GetName] have been invited to [Root.Capital.GetName] to celebrate the glory and splendor of the Dragon and House Targaryen.;Il est temps de lancer le tournoi. Pendant deux mois, tous pourront démontrer leurs talents martiaux et honorer la gloire et la splendeur du dragon.;;;Las invitaciones para el torneo extraordinario han partido. Todos los caballeros y Señores del [TopLiege.PrimaryTitle.GetName] han sido invitados a [Root.Capital.GetName] para celebrar el esplendor y la gloria del Dragón y la casa Targaryen.;;;;;;;;;x
EVTDESChigh_valyrian.105;As part of the celebrations in honour of dragons, some pyromancers have organised a great wildfire display, complete with a life size model dragon. The guests look on in awe at the bright green spits and explosions that are illuminating the dragon and great a three-headed Targaryen banner.;Pour honorer les dragons, des pyromants ont disposé du feu grégeois ressemblant à un dragon de taille réelle. Les invités regardent les explosions d’un vert éclatant qui illuminent le dragon et la bannière tricéphale Targaryen.;;;Como parte de las celebraciones en honor de los dragones, algunos piromantes han organizado un gran espectáculo con fuego valyrio y un dragón a tamaño real. Los invitados miran con asombro las explosiones de color verde brillante que iluminan el dragón y una enorme bandera Targaryen de tres cabezas.;;;;;;;;;x
EVTOPTAhigh_valyrian.105;It's almost like the real thing;C’est presque réel;;;Parece de verdad;;;;;;;;;x
EVTDESChigh_valyrian.106;As part of [From.GetTitledFirstName]'s tourney in honour of dragons and House Targaryen, some pyromancers have organised a great wildfire display, complete with a life size model dragon. The guests look on in awe at the bright green spits and explosions that are illuminating the dragon.;Dans le cadre du tournoi de [From.GetTitledFirstName] en hommage aux dragons, des pyromants ont disposé du feu grégeois ressemblant à un dragon de taille réelle. Les invités regardent les explosions d’un vert éclatant qui illuminent le dragon et la bannière tricéphale Targaryen.;;;Como parte del torneo de [From.GetTitledFirstName] en honor de los dragones y la casa Targaryen, algunos piromantes han organizado un gran espectáculo con fuego valyrio y un dragón a tamaño real. Los invitados miran con asombro las explosiones de color verde brillante que iluminan el dragón y una enorme bandera Targaryen de tres cabezas.;;;;;;;;;x
EVTOPTAhigh_valyrian.105;Perhaps [From.GetSheHe] likes dragons a bit too much?;C’est presque réel;;;Quizás le gustan demasiado los dragones?;;;;;;;;;x
EVTDESChigh_valyrian.107;[Root.PrimaryTitle.GetFOA], I hereby invite you to [From.Capital.GetName] to compete in a special tourney in honour of the lost Dragons and House Targaryen, their masters. I promise it will be a grand affair the likes the realm has never seen.\nYours,\n\n[From.GetTitledFirstNameNoRegnal] of House Targaryen, the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.PrimaryTitle.GetFOA], par cette missive, je vous invite à [From.Capital.GetName] pour participer à un tournoi spécial honorant les dragons perdus et la Maison Targaryen. Cet événement sera sans pareil, je vous le promets. \nCordialement,\n\n[From.GetTitledFirstNameNoRegnal] de la Maison Targaryen, [From.GetRegnalOrdinal] de son nom.;;;Un emisario ha llegado a la corte para invitar a todos los caballeros a participar en el Gran Torneo del Dragón que honrara a la Casa Targaryen y al Dragón;;;;;;;;;x
EVTTOOLTIPhigh_valyrian.103;A Dragon Statue will be built;Une statue de dragon va être construite;;;Una enorme estatua del Dragón será construida;;;;;;;;;x
EVTTOOLTIPhigh_valyrian.104;A Tournament of the Dragon will be held;Un tournoi du dragon va être organisé;;;Un Torneo del Dragón será organizado;;;;;;;;;x
action_oversee_province_desc;Send the Castellan to oversee the administration of a province;Envoyer le gouverneur surveiller l'administration d'une province;;;Enviar al Castellano a supervisar la administración de una provincia;;;;;;;;;x
action_oversee_province_nomadic_desc;Send the Castellan to oversee the administration the camps;Envoyer le gouverneur surveiller l'administration d'un camp;;;Enviar al Castellano a supervisar la administración de un campo;;;;;;;;;x
action_improve_defenses_desc;Put the Castellan in charge of inspecting and improving the local defenses;Charger le gouverneur d'inspecter et de renforcer les défenses locales;;;Poner al Castellano a cargo de inspeccionar y mejorar las defensas locales;;;;;;;;;x
action_pacify_province_desc;Send the Castellan to pacify a province, improving the military organisation there;Envoyer le gouverneur pacifier une province et améliorer l'organization militaire sur place;;;Enviar al Castellano a pacificar una provincia y mejorar su organización militar;;;;;;;;;x
action_pacify_province_nomadic_desc;Send the Castellan to pacify the camps, improving the military organisation there;Envoyer le gouverneur pacifier un camp et améliorer l'organization militaire sur place;;;Enviar al Castellano a pacificar un campo y mejorar su organización militar;;;;;;;;;x
EVTDESChigh_valyrian.108;Hearing of my desire to possess a dragon, a rich merchant comes bearing what he purports to be petrified dragon eggs. '[Root.PrimaryTitle.GetFOA], I propose that we trade. In exchange for my egg I desire many riches....as well as the hand of you maiden daughter in marriage.';'Ayant eu vent de mon désir d’obtenir un dragon, un riche marchand de la cité libre de Lys m’a réclamé audience, m’apportant ce qu’il prétend être des œufs de dragon. '[Root.PrimaryTitle.GetFOA], je vous propose un marché. En échange de mon oeuf, je désire de l'or... et la main de votre fille.';;;Habiendo escuchado mis deseos de tener un dragón, un rico mercader acude a la corte con lo que afirma son unos auténticos huevos de dragón petrificados. '[Root.PrimaryTitle.GetFOA], Estoy dispuesto a negociar. A cambio de mi huevo deseo muchas riquezas... así como la mano de vuestra joven hija wn matrimonio.';;;;;;;;;x
EVTOPTAhigh_valyrian.108;A high price, but I accept!;Le prix fort… mais j'accepte.;;;Un alto precio, pero acepto!;;;;;;;;;x
EVTOPTBhigh_valyrian.108;I am the Dragon! They are rightfully mine.;Je suis le dragon ! Ils m'appartiennent de droit ! ;;;Yo soy el Dragón! Son míos por derecho.;;;;;;;;;x
EVTOPTChigh_valyrian.108;Dragon eggs? Impossible, get out!;Des œufs de dragon ? Cela ne se peut ! Hors de ma vue !;;;¿Huevos de dragón? Eso es imposible, largo de aquí!;;;;;;;;;x
