#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
title_maester_desc;This character is a chained Maester of the Citadel;Ce personnage arbore la chaîne des mestres de la Citadelle.;;;Este personaje lleva la cadena de los maestres de la Ciudadela.;;;;;;;;;x;
job_spiritual;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
city_job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
city_job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
city_job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
city_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
city_job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
city_job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
LP_job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
LP_job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
LP_job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
LP_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
LP_job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
LP_job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
NW_job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
NW_job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
NW_job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
NW_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
NW_job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
NW_job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
nomadic_job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
nomadic_job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
nomadic_job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
nomadic_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
nomadic_job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
nomadic_job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
tribal_job_spiritual_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_ironborn;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_high_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_western_valyrian;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
tribal_job_spiritual_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
tribal_job_spiritual_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x;
tribal_job_spiritual_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x;
tribal_job_spiritual_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x;
tribal_job_spiritual_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x;
EVTDESCmaester.1;We have been granted the title of Archmaester!;Nous avons obtenu le titre d'archimestre !;;;Se nos ha concedido el título de Archimaestre.;;;;;;;;;x;
EVTDESCmaester.2;We have been granted the title of Maester!;Nous avons obtenu le titre de mestre !;;;Se nos ha concedido el título de Maestre.;;;;;;;;;x;
employ_maester;Send for a Maester from The Citadel;Solliciter un mestre auprès de la Citadelle;;;Solicitar un maestre a la Ciudadela;;;;;;;;;x;
employ_maester_desc;Every lord needs a Maester, The Citadel can provide one.;Tout Seigneur se doit d'avoir à ses côtés un mestre, la Citadelle peut en fournir un.;;;Todo señor necesita un maestre a su lado. La Ciudadela puede proporcionarte uno.;;;;;;;;;x;
opinion_refused_citadel;Refused Citadel Career;Carrière à la Citadelle refusée;;;Carrera en la Ciudadela denegada.;;;;;;;;;x;
EVTDESCmaester.3;I want to go to the Citadel;Je veux aller à la Citadelle;;;Quiero marcharme a la Ciudadela;;;;;;;;;x;
EVTOPTAmaester.3;Send my Liege a Letter;Envoyer une lettre à mon seigneur;;;Enviar una carta a mi Señor.;;;;;;;;;x;
EVTDESCmaester.4;[Root.PrimaryTitle.GetFOA], I, [From.GetBestName], sincerely ask that I be allowed to pursue a career at The Citadel in Oldtown. ;[Root.PrimaryTitle.GetFOA], moi, [From.GetBestName], demande l'autorisation de suivre un enseignement à la Citadelle de Villevieille.\n[From.GetBestName]. ;;;[Root.PrimaryTitle.GetFOA], me encantaría que se me permitiera marcharme a estudiar a la Ciudadela de Antigua./n[From.GetBestName]. ;;;;;;;;;x;
EVTOPTAmaester.4;I give you leave to go. Good luck.;Je vous donne votre congé;;;Te permito marcharte. Buena suerte.;;;;;;;;;x;
EVTOPTBmaester.4;I don't think so, you have a purpose yet.;Je ne vous le permet pas;;;No voy a dejarte hacerlo;;;;;;;;;x;
EVTOPTCmaester.4;Ridiculous, you're the heir to the [Root.PrimaryTitle.GetFullName]!;C'est ridicule, vous êtes l'héritier de(u) [Root.PrimaryTitle.GetFullName]!;;;Es ridículo, eres el heredero de [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x;
EVTOPTDmaester.4;No son of mine is going there!;Aucun de mes enfants ne se rendra là-bas !;;;Ningún hijo mio pisará ese lugar.;;;;;;;;;x;
EVTDESCmaester.5;After many years of training, I have earned anough links to form a Maesters chain. I have stood vigil in the darkness with the glass candle and am now worthy to be called Maester.;Après bien des années d’entraînement, j'ai obtenu assez de maillons pour forger une chaîne de mestre. J'ai veillé toute la nuit dans l'obscurité avec la chandelle de verre et je suis désormais digne du titre de mestre. ;;;Después de años de entrenamiento, he aprendido suficiente como para poder forjarme los eslabones de una cadena de maestre. Me quedé despierto toda la noche en la oscuridad con la vela de cristal y ahora soy digno del título de Mestre .;;;;;;;;;x;
EVTOPTAmaester.5;I have earned this;Je l'ai mérité;;;Lo merecía.;;;;;;;;;x;
EVTDESCmaester.6;After many years of training, your [GetFromRelation] [From.GetFirstName] has earned anough links to form a Maesters chain. He has stood vigil in the darkness with the glass candle and is now worthy to be called Maester.;Après des années d’entraînement, votre [GetFromRelation] [From.GetFirstName] a accumulé assez de maillons pour pouvoir forger sa chaîne de mestre. Il est resté éveillé dans l'obscurité avec la chandelle de verre et il est désormais digne du titre de mestre. ;;;Después de años de entrenamiento, tu hijo [From.GetFirstName] ha aprendido lo suficiente como para poder forjarse los eslabones de una cadena de maestre. Se quedó despierto toda la noche en la oscuridad con la vela de cristal y ahora es digno del título de Mestre .;;;;;;;;;x;
EVTOPTAmaester.6;This is good news!;C'est une bonne nouvelle !;;;Esas son buenas noticias.;;;;;;;;;x;
EVTOPTBmaester.6;I care not;Je m'en moque;;;Me importa un bledo;;;;;;;;;x;
EVTDESCmaester.7;I am a newly inducted Maester, what shall I do with my knowledge?;J'ai récemment reçu le titre de mestre, que dois-je faire de mes connaissances ? ;;;Recientemente se me ha nombrado maestre, ¿Cómo debería usar mi conocimiento?;;;;;;;;;x;
EVTOPTAmaester.7;I will serve a Lord of the Realm;Je vais servir un Seigneur du Royaume;;;Sirviendo a un Señor del reino;;;;;;;;;x;
EVTOPTBmaester.7;I will dedicate my life to The Citadel;Je vais dédier ma vie à la Citadelle;;;Dedicaré mi vida a la Ciudadela;;;;;;;;;x;
EVTDESCmaester.8;We have been assigned a new Maester from The Citadel. Let's hope he serves us well!;On nous a assignés un nouveau mestre de la Citadelle, espérons qu'il nous servira bien !;;;Se nos ha asignado un nuevo maestre de la Ciudadela, esperemos que nos sirva bien.;;;;;;;;;x;
EVTOPTAmaester.8;We shall make use of him;Nous nous servirons de ses compétences;;;Haremos buen uso de él;;;;;;;;;x;
EVTTOOLTIPmaester.8;will be assigned to your court;va être assigné à votre cour;;;será asignado a nuestra corte;;;;;;;;;x;
EVTDESCmaester.9;We have been assigned to a Lord of the realm;Nous avons été assigné à un Seigneur du Royaume;;;Hemos sido asignados a un Señor del reino;;;;;;;;;x;
EVTOPTAmaester.9;Good;Bien;;;Bien;;;;;;;;;x;
EVTDESCmaester.10;Archmaester counter set;Archimestre réfuté;;;Archimaestre refutado;;;;;;;;;x;
EVTOPTAmaester.10;OK;D'accord;;;Ok;;;;;;;;;x;
EVTDESCmaester.11;A new Archmaester is needed for the conclave. The search has begun!;Le conclave a besoin d'un nouvel archimestre. La sélection a commencée ! ;;;Se precisa un nuevo archimaestre para el cónclave. ¡La selección ha comenzado!;;;;;;;;;x;
EVTOPTAmaester.11;OK;D'accord;;;Ok;;;;;;;;;x;
EVTDESCmaester.12;We have been selected to assume a postion of Archmaester at The Citadel!;Nous avons été choisis pour assumer la charge d'archimestre de la Citadelle! ;;;Hemos sido elegidos para asumir el cargo de archimaestre de la Ciudadela;;;;;;;;;x;
EVTOPTAmaester.12;Excellent!;Excellent !;;;Excelente;;;;;;;;;x;
EVTDESCmaester.13;We have lost the title of Archmaester;Nous avons perdu le titre d'archimestre;;;Hemos perdido el título de archimaestre;;;;;;;;;x;
EVTOPTD37055;To The Citadel you go!;Vous irez à la Citadelle !;;;Irás a la Ciudadela!;;;;;;;;;x;
opinion_sent_to_citadel;Forced to The Citadel;Forcé d'étudier à la Citadelle;;;Obligado a estudiar en la Ciudadela;;;;;;;;;x;
EVTDESCmaester.14;We have gained the title of Archmaester;Nous avons gagné le titre d'archimestre;;;Hemos conseguido el título de archimaestre;;;;;;;;;x;
EVTNAMEmaester.15;Child is Progressing;L'enfant progresse;;;El niño progresa;;;;;;;;;x;
EVTDESCmaester.15;One of your liege's children is responding well to your instruction.;L'un des enfants de votre seigneur assimile bien votre instruction.;;;Uno de los hijos de tu señor responde bien a las enseñanzas.;;;;;;;;;x;
EVTOPTAmaester.15;They are doing well;Ils sont doués;;;Lo están haciendo bien;;;;;;;;;x;
EVTDESCmaester.16;[From.GetTitledFirstName] has been tutoring me these past few months, and has been a good teacher. I feel like I know so much more!;[From.GetTitledFirstName] a été mon(a) tuteur(rice) ces derniers mois, c'est un bon professeur. J'ai l'impression de connaître tellement de choses désormais !;;;[From.GetTitledFirstName] me está enseñando últimamente, y ha sido un buen maestro. Me siento como si supiera mucho más!;;;;;;;;;x;
EVTOPTAmaester.16;I am a good pupil;Je suis un(e) bon(ne) élève.;;;Soy un buen pupilo;;;;;;;;;x;
EVTDESCmaester.27;[Root.PrimaryTitle.GetFOA], your [GetFromRelation] [From.GetTitledFirstName] is responding very well to my tuition. [From.GetSheHeCap] has improved [From.GetHerHis] skills and is advancing in knowledge everyday. \n\nYour humble servant,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], votre [GetFromRelation] [From.GetTitledFirstName] assimile bien mon enseignement. Chaque jour ses compétences et son savoir progressent. \n\nVotre humble mestre, \n[FromFrom.GetTitledFirstName];;;Mi señor, uno de los niños está respondiendo muy bien a mi instrucción. Ha mejorado sus habilidades y conocimiento.\n\nSu humilde maestre,\n[Root.job_spiritual.GetTitledFirstName];;;;;;;;;x;
EVTOPTAmaester.27;Good news!;Heureuses nouvelles !;;;Buenas noticias;;;;;;;;;x;
EVTNAMEmaester.18;Uncooperative Child;Enfant non coopératif;;;Niño poco receptivo;;;;;;;;;x;
EVTDESCmaester.18;One of your liege's children is most uncooperative and is not responding well to your instruction.;L'un des enfants de votre seigneur n'est pas très réceptif à votre enseignement.;;;Uno de los hijos de tu señor se muestra poco receptivo y no está respondiendo bien a mi instrucción.;;;;;;;;;x;
EVTOPTAmaester.18;Foolish child;Enfant idiot;;;Maldito niño;;;;;;;;;x;
EVTDESCmaester.19;[From.GetTitledFirstName] has been tutoring me lately, and I hate it! Learning from scrolls and listening to [From.GetHerHis] lectures bores me.;[From.GetTitledFirstName] est mon(a) tuteur(rice) et je le(a) hais ! Lire de vieux rouleaux de parchemins miteux et écouter ses lectures m'ennuient au plus haut point.;;;[From.GetTitledFirstName] me está enseñando últimamente, y lo odio! Aprender de los pergaminos y escuchar sus conferencias me aburre.;;;;;;;;;x;
EVTOPTAmaester.19;I want to go outside;Je veux aller dehors.;;;Necesito salir.;;;;;;;;;x;
EVTDESCmaester.20;[Root.PrimaryTitle.GetFOA], your [GetFromRelation] [From.GetTitledFirstName] is most uncooperative and is not responding very well to my tuition. [From.GetSheHeCap] doesn't seem to listen and [From.GetHerHis] skills have regressed if anything. \n\nYour humble servant,\n[FromFrom.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], votre [GetFromRelation] [From.GetTitledFirstName] n'est pas réceptif à mon enseignement. [From.GetSheHeCap] ne semble rien retenir et ses compétences en viennent même à régresser. \n\nVotre humble serviteur,\n[FromFrom.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA],vuestro [GetFromRelation] [From.GetTitledFirstName]se muestra poco receptivo a mi instrucción. No parece retener las enseñanzas y sus competencias parecen reducirse. \n\nVuestro humilde servidor,\n[FromFrom.GetTitledFirstName];;;;;;;;;x;
EVTOPTAmaester.20;Foolish child;Enfant idiot;;;Maldito niño;;;;;;;;;x;
EVTDESCmaester.21;The Citadel and the order of Maesters currently have no home. Perhaps if they swore fealty to us we could give them a realm of their own?;La Citadelle et son ordre des mestres ne possèdent actuellement aucun territoire. Peut-être que s'ils nous juraient fidélité, nous pourrions leur octroyer des terres ? ;;;La Ciudadela y la orden de los Maestres no tiene un hogar que pueda llamar como tal. Quizás si nos juraran lealtad podamos cederles unas tierras que puedan usar?;;;;;;;;;x;
EVTOPTAmaester.21;They are most welcome here;Ils sont les bienvenus ici;;;Son bienvenidos;;;;;;;;;x;
EVTOPTBmaester.21;I care little for Maesters;Je me fiche des mestres;;;Me importan poco los maestres;;;;;;;;;x;
EVTDESCmaester.22;My liege has turned over one of my titles to The Citadel!;Mon seigneur a donné l'un de mes titres à la Citadelle !;;;Mi señor ha cedido unos de mis títulos a la Ciudadela;;;;;;;;;x;
EVTOPTAmaester.22;For the greater good…;Pour le bien commun…;;;Por un bien mayor;;;;;;;;;x;
EVTDESCmaester.23;[Root.PrimaryTitle.GetFOA], the Maester we sent for from the Citadel has arrived in [Root.Capital.GetName], a [new_maester.Culture.GetName] by the name of [new_maester.GetFirstName]. Let us hope [new_maester.GetSheHe] will be loyal and wise.;[Root.PrimaryTitle.GetFOA], Le mestre que nous avions réclamé à la Citadelle est arrivé à [Root.Capital.GetName], il vient de [new_maester.Culture.GetName] du nom de [new_maester.GetFirstName]. Espérons qu'il se montre loyal et sage. ;;;El maestre que solicitamos a la ciudadela acaba de llegar. Esperemos que nos sirva con lealtad y sabiduría;;;;;;;;;x;
EVTOPTAmaester.23;Good;Bien;;;Perfecto;;;;;;;;;x;
EVTTOOLTIPmaester.23;The Citadel will send us a Maester;La Citadelle va nous envoyer un mestre;;;La Ciudadela nos enviará un maestre;;;;;;;;;x;
action_tutor_children_desc;Assign your Maester to providing extra tuition for your children, to try and improve their skills.;Ordonner à votre mestre de dédier son temps à l'éducation de vos enfants afin d'améliorer leurs compétences.;;;Ordena a tu maestre que dedique su tiempo a mejorar la educación de tus hijos;;;;;;;;;x;
EVTDESCmaester.24;[Root.PrimaryTitle.GetFOA], I have been offered a seat on the Conclave, the governing body of the Citadel, and the rank of Archmaester. This is a prestigious post so I must accept. \n\nYours humbly, Maester [From.GetFirstName];[Root.PrimaryTitle.GetFOA], je me suis vu offrir le rang d'archimestre et une place au Conclave, l'assemblée qui gouverne la Citadelle. C'est un poste prestigieux que je ne peux refuser. \n\nVotre humble serviteur, mestre [From.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA], me han ofrecido el rango de Archimaestre y un puesto en el Cónclave, el órgano rector de la Ciudadela. Se trata de un puesto de prestigio, que no puedo rechazar.\n\nVuestro humilde servidor, maestre [From.GetFirstName];;;;;;;;;x;
EVTOPTAmaester.24;We will need a new Maester;Nous allons avoir besoin d'un nouveau mestre;;;Necesitaremos un nuevo Maestre;;;;;;;;;x;
title_grandmaester;Grand Maester;Grand Mestre;;;Gran Maestre;;;;;;;;;x;
EVTDESCmaester.25;The conclave has selected me to be the new Grand Maester.;Le conclave m'a désigné comme le nouveau Grand Mestre.;;;El Cónclave me ha elegido como el nuevo Gran Maestre;;;;;;;;;x;
EVTOPTAmaester.25;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x;
EVTDESCmaester.26;Your Grace, The Conclave of the Citadel has selected the Grand Maester, the head of the order of Maesters and servant to the Iron Throne.;Votre Grâce, le Conclave de la Citadelle a désigné [From.GetTitledName] pour être le nouveau Grand Mestre.;;;Su Excelencia, el Cónclave de la Ciudadela ha elegido a [From.GetTitledName] para que sea el nuevo Gran Maestre.;;;;;;;;;x;
EVTOPTAmaester.26;Lets hope he serves us well;Espérons qu'il nous serve bien;;;Esperemos que nos sirva bien.;;;;;;;;;x;
EVTTOOLTIPmaester.22;will lose his title to the Citadel;va perdre ses titres au profit de la Citadelle;;;perderá su título en beneficio de la Ciudadela;;;;;;;;;x;
EVTNAMEmaester.33;Troop's Morale raised;Le moral des troupes a augmenté;;;La moral de las tropas ha aumentado;;;;;;;;;x;
EVTDESCmaester.33;I have been tending wounded troops at the behest of my liege, and tales of my bravery and healing have raised the troop's morale.;Mon seigneur m'a envoyé auprès des troupes blessées. Les récits qui courent sur ma bravoure et mes talents de guérison ont amélioré le moral des troupes. ;;;He estado atendiendo los soldados heridos por orden de mi señor, y las historias sobre hombres valientes y mi nivel talento sanador han levantado la moral de la tropa.;;;;;;;;;x;
EVTOPTAmaester.33;it is part of my training;Cela fait partie de mon entraînement;;;es parte de mi entrenamiento;;;;;;;;;x;
EVTDESCmaester.34;My liege, I have been attending to the wounds of the men at your behest. They seem to be much happier now, hearing that their Lord would offer his own Maester to aid his men. \n\nYour humble servant,\n[From.GetTitledFirstName];Mon seigneur, je me suis occupé des blessures de vos hommes comme vous me l'aviez ordonné. Ils semblent plus heureux désormais, ils vous sont reconnaissants d'avoir envoyer votre propre mestre pour les aider. \n\nVotre humble mestre,\n[Root.job_spiritual.GetTitledFirstName];;;Mi señor, he estado asistiendo a los hombres heridos. Parecen ser mucho más felices ahora, al oír que su Señor ofrece a su propio maestre para ayudar a sus hombres.\n\nVuestro humilde servidor,\n [Root.job_spiritual.GetTitledFirstName];;;;;;;;;x;
EVTOPTAmaester.34;Maesters are most useful;Les mestres sont plus des plus utiles;;;Los Maestres son cada vez más útiles;;;;;;;;;x;
EVTNAMEmaester.35;Stressed from War;Stressé par la guerre;;;Estresado por la guerra;;;;;;;;;x;
EVTDESCmaester.35;I have been tending wounded troops at the behest of my liege, and I just can't take the endless stream of grotesque wounds!;Mon seigneur m'a envoyé auprès des troupes blessées, mais je ne peux me charger seul de ce flot continu de blessures monstrueuses !;;;He estado atendiendo los soldados heridos por orden de mi señor, y yo solo no puedo con la corriente sin fin de heridas grotescas!;;;;;;;;;x;
EVTDESCmaester.36;Grave news, [From.GetTitledFirstName], having been tending the wounds of the men at your command, is reported to have cracked under the stress of the stream of grotesque injuries. The men are now unnerved because of this.;Mauvaise nouvelle, [Root.job_spiritual.GetTitledFirstName] , que vous aviez envoyé s'occuper des blessures de vos hommes comme vous l'aviez ordonné, semble avoir craqué sous la pression et le stress engendré par le flot continu d'horribles blessures. Cela déconcerte vos hommes. ;;;Malas noticias, [Root.job_spiritual.GetTitledFirstName] al que enviaste a cuidar de los hombres heridos ha sucumbido a la presión y al estrés causado por el flujo constante de terribles heridas. Esto desconcierta a sus hombres.;;;;;;;;;x;
EVTOPTAmaester.36;How unfortunate;Voilà qui est malheureux;;;Qué inoportuno;;;;;;;;;x;
action_tend_to_wounded;Tend to the Wounded;Envoyer s'occuper des blessés;;;Atender a los heridos;;;;;;;;;x;
action_tend_to_wounded_desc;Assign your Maester to tending the wounds of your injured men;Envoyer votre mestre s'occuper des blessures de vos hommes;;;Asigna a tu maestre para atender a tus hombres heridos;;;;;;;;;x;
troops_likes_maester;Maester emboldens troops;Le mestre encourage les troupes;;;El maestre envalentona a las tropas;;;;;;;;;x;
troops_unnerve_maester;Troop's unnerved by Maester;Le mestre déconcerte les troupes;;;El maestre desconcierta a las tropas;;;;;;;;;x;
TOOLTIPEMPLOYMAESTER;You must not have any capable Maesters in your court;Vous ne devez pas avoir de mestres capables à votre cour;;;No hay ningún Maestre capaz en tu corte.;;;;;;;;;x;
