#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lightbringer_desc;Lightbringer is supposedly the sword of Azor Ahai, a legendary hero who is prophesied to fight the Great Other. Lightbringer is thought to be a sword made of living fire. It is also known as the Red Sword of Heroes.;Selon la légende, Illumination est l'épée de Azor Ahai, un héros légendaire qui, selon la prophétie, doit combattre le Grand Autre. Illumination est censée être faite de feu vivant. Elle est aussi connue sous le nom d'épée rouge des héros.;;;Dueña de Luz, a veces llamada también Portadora de Luz y la Espada Roja de los Héroes, es la espada de Azor Ahai, un héroe legendario que según la profecía combatirá al Gran Otro. Se cree que Dueña de Luz es una espada hecha de fuego. ;;;;;;;;;x
heartsbane;Heartsbane;Corvenin;;;Veneno de Corazón;;;;;;;;;x
heartsbane_desc;Heartsbane is the ancestral Valyrian steel sword of House Tarly. It is a two-handed greatsword which, up until the end of the third century AL, has been in the family for five hundred years.;Corvenin est l'ancestrale épée en acier valyrien de la maison Tarly. C'est une grande épée à deux mains qui, jusqu’à la fin du troisième siècle après la Conquête, a été transmise dans la famille pendant cinq cents ans.;;;Veneno de Corazón es el mandoble ancestral de acero valyrio de la Casa Tarly. Ha estado en la familia durante quinientos años.;;;;;;;;;x
crabspincer;Crab's Pincer;Pince-Crabe;;;Pinza de Cangrejo;;;;;;;;;x
crabspincer_desc;Crab's Pincer is the Valyrian steel axe belonging to House Celtigar.;Pince-Crabe est la hache en acier valyrien de la maison Celtigar.;;;Pinza de Cangrejo es el hacha de acero valyrio ancestral de la Casa Celtigar.;;;;;;;;;x
ladyforlorn;Lady Forlorn;Dame Affliction;;;Dama Desesperada;;;;;;;;;x
ladyforlorn_desc;Lady Forlorn is the Valyrian steel sword belonging to House Corbray. It has a heart-shaped ruby in its pommel.\n\n-If the owner of Lady Forlorn is a Corbray, then the head of House Corbray will usually inherit this sword on the owners death.;Dame Affliction est l'épée en acier valyrien appartenant la Maison Corbray. Son pommeau est serti d'un rubis en forme de cœur.;;;Dama Desesperada es la espada ancestral de acero valyrio de la Casa Corbray. Tiene un rubí en forma de corazón en el pomo.;;;;;;;;;x
redrain;Red Rain;Pluie Pourpre;;;Lluvia Roja;;;;;;;;;x
redrain_desc;Red Rain is rumored to be the old Valyrian steel sword of House Reyne. Hilmar Drumm later acquired it for House Drumm with just his wits and a wooden cudgel.;La rumeur court que Pluie Pourpre serait l’ancienne épée en acier valyrien de la Maison Reyne. Hilmar Timbal s’en empara pour le compte de la Maison Timbal en usant de sa vivacité d’esprit et d’un simple gourdin de bois. ;;;Lluvia Roja es una espada de acero valyrio que se rumorea es la ancestral espada de acero valyrio de la Casa Reyne. Hilmar Drumm la adquirió para la Casa Drumm usando sólo su ingenio y un garrote de madera.;;;;;;;;;x
widowswail;Widow's Wail;Pleurs-de-Veuve;;;Lamento de Viuda;;;;;;;;;x
widowswail_desc;Widow's Wail is a new Valyrian steel sword forged from the old blade Ice on the orders of Tywin Lannister. It has red and black ripples through the steel and its scabbard is garishly decorated with gold, cherrywood, red leather and golden lion heads with ruby eyes.;Pleurs-de-Veuve est une épée en acier valyrien nouvellement forgée à partir de l’antique épée Glace à la demande de Tywin Lannister. La lame d’acier est moirée de rouge et de noir et son fourreau est décoré à outrance d’or, de merisier, de maroquin rouge et de mufles léonins d’or aux yeux de rubis.;;;Lamento de Viuda es una nueva espada de acero valyrio forjada a partir del mandoble ancestral de la Casa Stark, Hielo. Tiene una hermana de forja, Guardajuramentos. Su apariencia es de una hoja con bucles rojos y negros, la vaina está decorada con oro, madera de cerezo y cuero rojo con cabezas de leones de oro, cuyos ojos son rubíes.;;;;;;;;;x
oathkeeper;Oathkeeper;Féale;;;Guardajuramentos;;;;;;;;;x
oathkeeper_desc;Oathkeeper is a new Valyrian steel sword forged from the old blade Ice on the orders of Tywin Lannister. It has red and black ripples through the steel.;Féale est une épée en acier valyrien nouvellement forgée à partir de l’antique épée Glace à la demande de Tywin Lannister. Son acier est moiré de rouge et de noir.;;;Guardajuramentos es una espada larga de acero valyrio forjada a partir del mandoble ancestral de la Casa Stark, Hielo. Tiene una hermana de forja, Lamento de Viuda. Su apariencia es de una hoja con bucles rojos y negros.;;;;;;;;;x
strangers_mercy;Stranger's Mercy;Mort-Merci;;;Misericordia del Desconocido;;;;;;;;;x
strangers_mercy_desc;Stranger's Mercy is a bastard sword of Valyrian Steel, the pommel set with a piece of polished dragonglass.;Mort-Merci est une épée bâtarde en acier valyrien, du verredragon est incrusté dans son pommeau.;;;Misericordia del Desconocido es una espada bastarda de acero valyrio, la empuñadura está engastada con un pedazo de vidriagón pulido.;;;;;;;;;x
truth;Truth;Vérité;;;Verdad;;;;;;;;;x
truth_desc;Truth is the Valyrian Steel sword of House Rogare, a noble family of ancient lineage from Lys.;Vérité est l'épée en acier valyrien de la maison Rogare, une noble famille lysienne à l'antique ascendance;;;Verdad es la espada de acero valyrio de la casa Rogare, una noble familia lysena de antigua ascendencia.;;;;;;;;;x
lamentation;Lamentation;Lamentation;;;Lamento;;;;;;;;;x
lamentation_desc;Lamentation is the Valyrian Steel sword of House Royce, an old and powerful noble house of the Vale. Pre-dating the Arryn rule of the Vale, they can trace their blood back to the days of the First Men who once populated the Vale and their rule as the Bronze Kings of Runestone, until the Andal conquest in which they were defeated by Artys Arryn, the King of Mountain and Vale.;Lamentation est l'épée en acier valyrien de la maison Royce, une ancienne et puissante maison du Val. Les Royce peuvent remonter leur lignage bien avant l'arrivée des Arryn. A l'époque des Premiers Hommes ils gouvernaient en tant que rois de Bronze des Roches-aux-runes, et cela jusqu'à leur défaite face aux Andals et Artys Arryn, le roi de la Montagne et du Val.;;;Lamento es la espada de acero valyrio de la casa Royce, una antigua y poderosa casa del Valle. Los Royce pueden rastrear su linaje hasta los Primeros Hombres que habitaron el Valle antes de la llegada de los Ándalos.;;;;;;;;;x
poison;Poison;Poison;;;Veneno;;;;;;;;;x
poison_desc;Poison is the Valyrian Steel sword of House Vunatis, a bastard sword of Valyrian steel which was originally intended to be traded for bags of gold with the Volantene across the Narrow Sea, before the ship it traveled on was seized by the Pirate Lords of Bloodstone. The grip is made of dragonbone, carved in a corkscrew pattern.;Poison est l'épée bâtarde en acier valyrien de la maison Vunatis. cette dernière devait au départ être vendue à de riches Volantains, mais le navire sur lequel elle était transportée fut attaqué les seigneurs pirates de Peyresang. Le Pommeau est en os de dragon.;;;Veneno es la espada bastarda de acero valyrio de la casa Vunatis. Inicialmente estaba destinado a ser vendida a ricos volantinos, pero el navío en el que la transportaban fue atacado por los piratas de Piedra Sangrienta. La empuñadura es de huesodragón.;;;;;;;;;x
TOOLTIPVALYRIANSWORDWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields a §YValyrian steel sword§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie une §Yépée en acier valyrien§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande una §Y espada de acero valyrio§!\n;;;;;;;;;x
TOOLTIPICEWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YIce§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YGlace§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YHielo§!\n;;;;;;;;;x
TOOLTIPDAWNWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] is the Sword of the Morning, wielding §YDawn§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] est l'Epée du Matin, maniant §YAube§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] es la Espada del Alba, blandiendo a §YAlbor§!\n;;;;;;;;;x
TOOLTIPLONGCLAWWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YLongclaw§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YGrand-Griffe§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YGarra§!\n;;;;;;;;;x
TOOLTIPBLACKFYREWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YBlackfyre§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YFeunoyr§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YFuegoscuro§!\n;;;;;;;;;x
TOOLTIPBRIGHTROARWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YBrightroar§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YRugissante§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YRugido§!\n;;;;;;;;;x
TOOLTIPHEARTSBANEWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YHeartsbane§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YCorvenin§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YVeneno de Corazón§!\n;;;;;;;;;x
TOOLTIPSTRANGERSMERCYWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YStranger's Mercy§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YMort-Merci§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YMisericordia del Desconocido§!\n;;;;;;;;;x
CB_NAME_RECLAIM_SWORD;Reclaim Ancestral Sword;Réclamer l'épée ancestrale;;;Reclamar la Espada Ancestral;;;;;;;;;x
WAR_NAME_RECLAIM_SWORD;$CLAIMANT$'s $ORDER$ War to reclaim their ancestral sword from $DEFENDER$;$ORDER$$FIRST_ADJ$ Guerre pour reprendre l'épée ancestrale des mains de $DEFENDER$;;;$ORDER$$FIRST_ADJ$ Guerra para recuperar la espada ancestral de las manos de $DEFENDER$;;;;;;;;;x
reclaim_ancestral_sword_desc;§Y$CLAIMANT$§! can declare war to reclaim their houses' ancestral sword from §Y$TARGET$§! ;§Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! pour reprendre l'épée ancestrale de sa maison;;;§Y$CLAIMANT$§! Puede declarar la guerra a §Y$TARGET$§! para recuperar la espada ancestral de su casa.;;;;;;;;;x
TOOLTIPRECLAIMVALYRIANSTEELWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender their §YValyrian Blade§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera son §Ylame en acier valyrien§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar su §Yespada de acero valyrio§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMICEWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YIce§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YGlace§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YHielo§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMLONGCLAWWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YLongclaw§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YGrand-Griffe§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YGarra§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMBLACKFYREWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YBlackfyre§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YFeunoyr§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YFuegoscuro§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMBRIGHTROARWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YBrightroar§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YRugissante§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YRugido§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMHEARTSBANEWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YHeartsbane§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YCorvenin§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YVeneno de Corazón§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMDARKSISTERWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YDark Sister§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YNoire Soeur§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YHermana Oscura§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPRECLAIMstrangers_mercyWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YStranger's Mercy§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YMort-Merci§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YMiseridordia del Desconocido§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
nightfall;Nightfall;Crépuscule;;;Anochecer;;;;;;;;;x
nightfall_desc;Nightfall is a Valyrian steel sword that belonged to House Harlaw towards the end of the third century AL. It has a moonstone pommel.;Crépuscule est une épée en acier valyrien qui appartenait à la Maison Harloi durant la fin du troisième siècle après la Conquête. Son pommeau est en pierre de lune.;;;Anochecer es el mandoble ancestral de acero valyrio de la Casa Harlaw. La espada tiene una empuñadura de piedra con una luna. ;;;;;;;;;x
TOOLTIPNIGHTFALLWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YNightfall§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YCrépuscule§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YAnochecer§!\n;;;;;;;;;x
TOOLTIPRECLAIMNIGHTFALLWAR;[This.GetFirstName] [This.GetOnlyDynastyName] shall surrender §YNightfall§! To §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] livrera §YCrépuscule§! à §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] deberá entregar §YAnochecer§! a §Y[Root.GetFirstName] [Root.GetOnlyDynastyName]§!\n;;;;;;;;;x
TOOLTIPDARKSISTERWIELDER;[This.GetFirstName] [This.GetOnlyDynastyName] wields §YDark Sister§!\n;[This.GetFirstName] [This.GetOnlyDynastyName] manie §YNoire Soeur§!\n;;;[This.GetFirstName] [This.GetOnlyDynastyName] blande a §YHermana Oscura§!\n;;;;;;;;;x
give_ice_to_son;Grant Ice;Donner Glace;;;Ceder Hielo;;;;;;;;;x
give_ice_to_son_desc;I will pass on Ice to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Glace à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Hielo a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_longclaw_to_son;Grant Longclaw;Donner Grand-Griffe;;;Ceder Garra;;;;;;;;;x
give_longclaw_to_son_desc;I will pass on Longclaw to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Grand-Griffe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Garra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_longclaw_snow_to_son;Grant Longclaw;Donner Grand-Griffe;;;Ceder Garra;;;;;;;;;x
give_longclaw_snow_to_son_desc;I will pass on Longclaw to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Grand-Griffe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Garra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_blackfyre_to_son;Grant Blackfyre;Donner Feunoyr;;;Ceder Fuegoscuro;;;;;;;;;x
give_blackfyre_to_son_desc;I will pass on Blackfyre to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Feunoyr à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Fuegoscuro a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_brightroar_to_son;Grant Brightroar;Donner Rugissante;;;Ceder Rugido;;;;;;;;;x
give_brightroar_to_son_desc;I will pass on Brightroar to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Rugissante à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Rugido a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_heartsbane_to_son;Grant Heartsbane;Donner Corvenin;;;Ceder Veneno de Corazón;;;;;;;;;x
